period,team,player_number,shot_type,x,y,team1,team2,game_url,shot_chart_url
1,RSA,13,Shot,59.13606951050889,-29.803842036783323,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,24,Shot,75.876772151361,11.48903600506894,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,18,Shot,31.748223058591634,-23.292740329782575,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,14,Shot,46.54810866387936,-14.19036059606072,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,7,Shot,68.96581385809404,-11.064092761402009,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,7,Goal,76.83256066425227,-0.6004662577000346,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,24,Goal,77.84591829297565,-4.123337890858657,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,14,Shot,47.13946736638252,20.90812502371496,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,RSA,24,Shot,54.62085634892097,-1.3010911024287424,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,13,Shot,-42.84155028994887,-28.547960456167175,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,13,Shot,-79.98723093299604,3.045097360971212,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,5,Shot,-54.22645780576585,-9.78966265996641,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,8,Shot,-36.6608179730554,38.47664282388183,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,19,Shot,-28.177195773614756,10.216878083161241,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,8,Shot,-80.65379043168457,5.889906092853998,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,3,Shot,-32.96258298197168,23.273543838168123,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
1,BIH,5,Shot,-77.85712810202168,-3.4756182915696883,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,5,Goal,77.29397894945404,-0.007027771353875778,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,9,Shot,27.66981100886113,30.61087967123622,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,3,Goal,74.6903428136487,-4.223582112794169,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,16,Shot,41.50370597946457,19.737612881717894,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,5,Goal,30.79066966972053,-15.870768663797236,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,BIH,5,Shot,75.82100207039863,16.58111592494808,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,RSA,16,Shot,-66.70255967416465,-3.5622351453315986,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,RSA,12,Shot,-36.70345965398721,-27.275340105762595,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,RSA,4,Goal,-76.44952564514786,2.218880361885226,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,RSA,13,Shot,-59.28745032439097,-16.31967826338908,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
2,RSA,10,Shot,-65.64575193744773,11.343062742886069,RSA,BIH,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,https://www.iihf.com//pdf/7/ihm007901_77a_2_0
