jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
9,GIOT Marc,RSA,True,F,0,0,0,2,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
10,CARELSE Luke,RSA,True,F,0,1,1,0,2,2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
12,VENTER John,RSA,True,D,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
18,BIRRELL Cameron,RSA,True,D,1,0,1,0,5,1.0,0:00,0.0,0:00,1,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
24,SAMAAI Uthman,RSA,True,F,2,1,3,0,4,2.0,0:00,0.0,0:00,3,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
5,MAGMOED Deen,RSA,True,D,0,0,0,0,2,2.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
7,COMPTON Dylan,RSA,True,F,2,1,3,2,3,4.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
13,van DOESBURGH Jean-Michel,RSA,True,F,0,0,0,2,3,1.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
15,KLUYTS Stefan,RSA,True,F,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
19,PHAKATHI Dion,RSA,True,D,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
