jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,CAPIN Amel,BIH,True,GK,52,4,48,92.31,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
20,PASOVIC Dino,BIH,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
1,CHAROENSUK Sujin,THA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
25,UNGKULPATTANASUK Pattarapol,THA,False,GK,29,4,25,86.21,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
1,AL SUWAIDI Khaled,UAE,True,GK,16,1,15,93.75,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
20,AL DHAHERI Ahmed,UAE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
1,CHEUNG Ching Ho,HKG,False,GK,26,6,20,76.92,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
20,KEUNG Emerson Kwokway,HKG,False,GK,15,5,10,66.67,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
1,CHEUNG Ching Ho,HKG,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6467/4-hkg-vs-kuw,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6467/4-hkg-vs-kuw
20,KEUNG Emerson Kwokway,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6467/4-hkg-vs-kuw,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6467/4-hkg-vs-kuw
