jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
3,DZAMALIJA Muamer,BIH,True,F,0,1,1,0,2,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
5,OMER Mirza,BIH,True,F,1,1,2,4,9,1.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,4.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
11,MRKVA Haris,BIH,True,F,0,1,1,0,2,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
19,VIDEN Emir,BIH,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
23,LONDON Anthony,BIH,True,D,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
6,HADZIC Mirza,BIH,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
8,HODZIC Mirzet,BIH,True,F,1,0,1,0,4,1.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
9,HASOVIC Ermin,BIH,True,F,0,0,0,0,3,1.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
10,PILAV Admir,BIH,True,D,1,0,1,2,1,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
18,CATOVIC Tarik,BIH,True,F,1,1,2,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
