jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,ALSAEGH Ahmad,KUW,True,GK,22,5,17,77.27,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
25,ALSARRAF Jasem,KUW,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
3,M.HAIKAL Muhammad Asyraaf,MAS,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
20,CHOW Meng Yenn Adrian,MAS,False,GK,29,2,27,93.1,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
31,HASSANZADEH Oveis,IRI,True,GK,34,7,27,79.41,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29798/2-iri-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz
98,MAHDAVI Alireza,IRI,True,GK,33,6,27,81.82,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29798/2-iri-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz
1,PETROV Alexander,KGZ,False,GK,5,1,4,80.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29798/2-iri-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz
20,ALYMBEKOV Kadyr,KGZ,False,GK,10,0,10,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29798/2-iri-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz
1,LEE Joshua Shao Ern,SGP,True,GK,39,4,35,89.74,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29799/3-sgp-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri
45,LIANG Chin Ming Kenny,SGP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29799/3-sgp-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri
31,HASSANZADEH Oveis,IRI,False,GK,21,2,19,90.48,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29799/3-sgp-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri
98,MAHDAVI Alireza,IRI,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29799/3-sgp-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri
1,LEE Joshua Shao Ern,SGP,True,GK,27,0,27,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29800/4-sgp-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw
45,LIANG Chin Ming Kenny,SGP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29800/4-sgp-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw
1,ALSAEGH Ahmad,KUW,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29800/4-sgp-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw
25,ALSARRAF Jasem,KUW,False,GK,30,4,26,86.67,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29800/4-sgp-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw
1,PETROV Alexander,KGZ,True,GK,2,1,1,50.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29801/5-kgz-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas
20,ALYMBEKOV Kadyr,KGZ,True,GK,3,0,3,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29801/5-kgz-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas
3,M.HAIKAL Muhammad Asyraaf,MAS,False,GK,34,10,24,70.59,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29801/5-kgz-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas
20,CHOW Meng Yenn Adrian,MAS,False,GK,55,12,43,78.18,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29801/5-kgz-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas
31,HASSANZADEH Oveis,IRI,True,GK,10,0,10,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29802/6-iri-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29802/6-iri-vs-kuw
98,MAHDAVI Alireza,IRI,True,GK,16,2,14,87.5,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29802/6-iri-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29802/6-iri-vs-kuw
1,ALSAEGH Ahmad,KUW,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29802/6-iri-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29802/6-iri-vs-kuw
25,ALSARRAF Jasem,KUW,False,GK,38,9,29,76.32,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29802/6-iri-vs-kuw,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29802/6-iri-vs-kuw
3,M.HAIKAL Muhammad Asyraaf,MAS,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29803/7-mas-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29803/7-mas-vs-iri
20,CHOW Meng Yenn Adrian,MAS,True,GK,51,7,44,86.27,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29803/7-mas-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29803/7-mas-vs-iri
31,HASSANZADEH Oveis,IRI,False,GK,5,3,2,40.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29803/7-mas-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29803/7-mas-vs-iri
98,MAHDAVI Alireza,IRI,False,GK,6,0,6,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29803/7-mas-vs-iri,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29803/7-mas-vs-iri
1,PETROV Alexander,KGZ,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29804/8-kgz-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29804/8-kgz-vs-sgp
20,ALYMBEKOV Kadyr,KGZ,True,GK,7,0,7,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29804/8-kgz-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29804/8-kgz-vs-sgp
1,LEE Joshua Shao Ern,SGP,False,GK,43,9,34,79.07,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29804/8-kgz-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29804/8-kgz-vs-sgp
45,LIANG Chin Ming Kenny,SGP,False,GK,24,6,18,75.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29804/8-kgz-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29804/8-kgz-vs-sgp
3,M.HAIKAL Muhammad Asyraaf,MAS,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29805/9-mas-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29805/9-mas-vs-sgp
20,CHOW Meng Yenn Adrian,MAS,True,GK,34,8,26,76.47,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29805/9-mas-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29805/9-mas-vs-sgp
1,LEE Joshua Shao Ern,SGP,False,GK,22,2,20,90.91,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29805/9-mas-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29805/9-mas-vs-sgp
45,LIANG Chin Ming Kenny,SGP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29805/9-mas-vs-sgp,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29805/9-mas-vs-sgp
1,ALSAEGH Ahmad,KUW,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29806/10-kuw-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29806/10-kuw-vs-kgz
25,ALSARRAF Jasem,KUW,True,GK,63,14,49,77.78,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29806/10-kuw-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29806/10-kuw-vs-kgz
1,PETROV Alexander,KGZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29806/10-kuw-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29806/10-kuw-vs-kgz
20,ALYMBEKOV Kadyr,KGZ,False,GK,3,0,3,100.0,https://www.iihf.com//en/events/2022/wmiv/gamecenter/statistics/29806/10-kuw-vs-kgz,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29806/10-kuw-vs-kgz
