period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,KUW,14,MAS,20,0.4970220529241066,2.0589424825311413,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
2,MAS,6,KUW,1,2.5106953094864206,0.7153145892931869,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
2,MAS,6,KUW,1,5.232882739413255,0.4850081926246044,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
2,MAS,18,KUW,1,5.232882739413255,3.747679469849964,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
2,MAS,18,KUW,1,4.4870782916755765,2.6729173556284027,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
2,MAS,21,KUW,1,5.083722161783365,3.709470053308247,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
3,KUW,6,MAS,20,0.571602601670423,0.6385457904036596,KUW,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas,https://www.iihf.com//pdf/8/ihm008901_77a_4_1
1,IRI,27,KGZ,1,5.083722161783365,2.442785941862867,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
1,KGZ,19,IRI,31,5.08372288394996,3.517373073181382,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
1,KGZ,6,IRI,31,0.49702222517966466,1.0223897848512968,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
1,KGZ,6,IRI,31,0.49702222517966466,1.7516928391858961,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
1,KGZ,15,IRI,31,1.0936668219323928,0.7536995238538622,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,18,IRI,31,0.4597317785509485,1.598155241406841,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,7,IRI,31,0.4597317785509485,0.750638125724413,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,15,IRI,31,0.4970220529241066,1.4062332441830225,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,10,IRI,98,0.3851512298046321,1.4062332441830225,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,19,IRI,98,5.232882739413255,0.9456215210776806,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
2,KGZ,7,IRI,98,5.232882739413255,0.9425595878323203,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
3,KGZ,19,IRI,98,2.2496631288261915,2.135536298517622,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
3,KGZ,9,IRI,98,0.9445035932925205,2.9032237522969853,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
3,KGZ,3,IRI,98,5.232886112589832,3.517285849287814,IRI,KGZ,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29798/2-iri-vs-kgz,https://www.iihf.com//pdf/8/ihm008902_77a_4_1
1,IRI,24,SGP,1,4.897270789917574,3.2872421945317574,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
1,IRI,38,SGP,1,4.710819418051783,2.5960613328453075,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
1,IRI,27,SGP,1,5.270173013786414,0.9074110343041406,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
2,SGP,97,IRI,31,4.859980515544416,3.17191401329442,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
3,IRI,27,SGP,1,4.748109692424942,2.8266299363105043,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
3,IRI,51,SGP,-1,2.809017504471686,1.2143117820751153,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
3,SGP,97,IRI,31,0.4224406108597285,1.0223897848512968,SGP,IRI,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29799/3-sgp-vs-iri,https://www.iihf.com//pdf/8/ihm008903_77a_3_0
1,SGP,68,KUW,25,5.232886112589832,2.250689496851913,SGP,KUW,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw,https://www.iihf.com//pdf/8/ihm008904_77a_3_0
1,SGP,8,KUW,25,4.748111857865318,0.600161926074807,SGP,KUW,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw,https://www.iihf.com//pdf/8/ihm008904_77a_3_0
2,SGP,97,KUW,25,0.6088928760435811,2.711302290189078,SGP,KUW,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw,https://www.iihf.com//pdf/8/ihm008904_77a_3_0
2,SGP,8,KUW,25,4.97185133866389,1.8284616380754235,SGP,KUW,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29800/4-sgp-vs-kuw,https://www.iihf.com//pdf/8/ihm008904_77a_3_0
1,KGZ,19,MAS,3,0.38515188315145066,0.6385457904036596,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
1,KGZ,10,MAS,3,4.934563814213468,2.5193797578493475,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
1,KGZ,19,MAS,3,5.121015770561618,1.6365391057356935,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
1,KGZ,7,MAS,3,4.748111857865318,2.4011656965015193,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
1,KGZ,17,MAS,3,0.4597334974713868,3.402395392866049,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
1,KGZ,9,MAS,3,2.8836006121905777,0.7920833881827143,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,9,MAS,20,1.6530195187665253,1.6365391057356935,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,8,MAS,20,0.42244150417779025,3.4406048094077657,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,18,MAS,20,2.7344369557253696,1.3678488447382589,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,23,MAS,20,5.083722161783365,2.9415203927322695,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,19,MAS,20,2.7344369557253696,1.252696181519879,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,7,MAS,20,4.97185133866389,0.980943987277084,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
2,KGZ,23,MAS,3,4.897270789917574,1.9051426779554719,KGZ,MAS,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29801/5-kgz-vs-mas,https://www.iihf.com//pdf/8/ihm008905_77a_3_0
