jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,ALSAEGH Ahmad,GK,0,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
25.0,ALSARRAF Jasem,GK,0,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
17.0,ALAWADHI Jasem,D,1,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
5.0,ALZIDAN Abdullah,D,1,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
9.0,ALAJMI Ahmad,F,1,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
11.0,ALAJMI Mohammad,F,1,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
6.0,ALSARRAF Ali,F,1,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
3.0,KHALAF Khalaf,D,2,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
2.0,ALDAEI Abdulrazaq,D,2,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
7.0,ALAJMI Mashari,F,2,KUW,True,https://www.iihf.com//en/events/2022/wmiv/gamecenter/lineup/29797/1-kuw-vs-mas,https://www.iihf.com//en/events/2022/wmiv/gamecenter/playbyplay/29797/1-kuw-vs-mas
