period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,DEN,13.0,NOR,20.0,4.636238869305466,1.2909928219551636,https://www.iihf.com//pdf/716/ihm716901_77a_1_0,NOR,DEN,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6352/1-nor-vs-den
2.0,DEN,14.0,NOR,20.0,1.4292778480170347,3.095320197307939,https://www.iihf.com//pdf/716/ihm716901_77a_2_0,NOR,DEN,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6352/1-nor-vs-den
3.0,NOR,16.0,DEN,1.0,5.009141269630024,0.5233931271852796,https://www.iihf.com//pdf/716/ihm716901_77a_3_0,NOR,DEN,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6352/1-nor-vs-den
2.0,FRA,16.0,UKR,20.0,1.3546962336970987,2.289073896296677,https://www.iihf.com//pdf/716/ihm716902_77a_2_0,UKR,FRA,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6353/2-ukr-vs-fra
3.0,UKR,7.0,FRA,1.0,5.232886112589832,0.3667946663926873,https://www.iihf.com//pdf/716/ihm716902_77a_3_0,UKR,FRA,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6353/2-ukr-vs-fra
4.0,FRA,10.0,UKR,20.0,4.41249774292926,1.7516928391858961,https://www.iihf.com//pdf/716/ihm716902_77a_4_0,UKR,FRA,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6353/2-ukr-vs-fra
1.0,GER,23.0,KAZ,20.0,4.487078287197232,1.4829148191789825,https://www.iihf.com//pdf/716/ihm716903_77a_1_0,KAZ,GER,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6354/3-kaz-vs-ger
2.0,GER,11.0,KAZ,20.0,4.598948594932309,2.0973268819759046,https://www.iihf.com//pdf/716/ihm716903_77a_2_0,KAZ,GER,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6354/3-kaz-vs-ger
2.0,GER,3.0,KAZ,20.0,1.317407569270844,3.2485955882903794,https://www.iihf.com//pdf/716/ihm716903_77a_2_0,KAZ,GER,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6354/3-kaz-vs-ger
3.0,KAZ,9.0,GER,1.0,0.27328066661652883,0.600161926074807,https://www.iihf.com//pdf/716/ihm716903_77a_3_0,KAZ,GER,https://www.iihf.com//en/events/2019/wm18ia/gamecenter/playbyplay/6354/3-kaz-vs-ger
