period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,DEN,12,FRA,25,4.226046371063469,0.4851831755276512,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
1,FRA,12,DEN,25,4.971852541921746,0.408414911754035,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
1,FRA,24,DEN,25,0.2732815411232366,3.709470053308247,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
2,DEN,14,FRA,25,2.5852783138142135,0.5619525095330902,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
3,DEN,15,FRA,25,2.883598053218002,0.4850081926246044,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
3,FRA,12,DEN,25,2.734437383550705,0.408414911754035,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
3,FRA,12,DEN,25,1.1309555496406707,1.7518672869730314,FRA,DEN,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29865/1-fra-vs-den,https://www.iihf.com//pdf/49/ihm049901_77a_3_0
1,NOR,18,KAZ,1,2.324244743146127,2.365842160070293,NOR,KAZ,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29866/2-nor-vs-kaz,https://www.iihf.com//pdf/49/ihm049902_77a_3_0
1,NOR,18,KAZ,1,1.9140521027415494,1.8284616380754235,NOR,KAZ,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29866/2-nor-vs-kaz,https://www.iihf.com//pdf/49/ihm049902_77a_3_0
2,NOR,22,KAZ,1,1.3919878580857892,1.8670204853073225,NOR,KAZ,https://www.iihf.com//en/events/2022/wm18ia/gamecenter/playbyplay/29866/2-nor-vs-kaz,https://www.iihf.com//pdf/49/ihm049902_77a_3_0
