jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,van NOTEN Ignace,GK,0,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
20.0,VUERINCKX Rune,GK,0,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
9.0,MOONS Wannes,D,1,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
14.0,BLOMME Jaron,D,1,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
23.0,VERHAEGEN Scott,F,1,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
22.0,ADRIAENSSENS Boris,F,1,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
19.0,SCHRICKX Senne,F,1,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
2.0,PICCART Chad,D,2,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
10.0,van GORP Axl,D,2,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
4.0,VANDEZANDE matteo,F,2,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
7.0,CAMUS Noah,F,2,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
17.0,STEENO Jonas,F,2,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
12.0,EMONTS-POHL Sasha,D,3,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
3.0,BRANCKAERTS Thijs,D,3,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
24.0,van den BOSCH Jef,F,3,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
8.0,BONI Lucas,F,3,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
13.0,OP de BEECK Mick,F,3,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
11.0,de VRIENDT Julien,F,4,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
16.0,BALHAN Gabin,F,4,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
6.0,DENS Josse,F,4,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
,COOLS Philippe,He. Co.,5,BEL,True,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
1.0,ANSEMS Jowin,GK,0,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
20.0,de BOER Almer,GK,0,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
8.0,MAAS Nick,D,1,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
6.0,KLEM Ernesto,D,1,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
13.0,de RUITER Jay,F,1,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
21.0,HESSELS Delaney,F,1,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
15.0,VERSTEEG Dean,F,1,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
4.0,TEN BRINK Jeremy,D,2,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
23.0,ZOUTMAN Wesley,D,2,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
11.0,ANSEMS Roy,F,2,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
22.0,KRONENBURG Jelle,F,2,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
17.0,de BRUIJN Wesley,F,2,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
2.0,van den BOOM Brent,D,3,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
14.0,KLEIJSSEN Diego,D,3,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
16.0,HOUBEN Tycho,F,3,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
10.0,COLLARD Mike,F,3,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
24.0,HUISMAN Jay,F,3,NED,False,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/lineup/6432/1-bel-vs-ned,https://www.iihf.com//en/events/2019/wm18iib/gamecenter/playbyplay/6432/1-bel-vs-ned
