period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,MEX,12,ISR,1,5.195593225978174,3.555932990645104,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
1,MEX,24,ISR,1,2.361533470854405,0.1781085150854524,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
2,ISR,3,MEX,1,4.934563814213468,3.171826789400852,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
2,ISR,7,MEX,1,5.046434156241682,1.8254002399459748,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
2,ISR,15,MEX,1,2.6225670415224918,0.1779340672983176,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
2,ISR,4,MEX,1,5.3820451823263245,3.4395800624373245,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
3,MEX,14,ISR,1,2.846307725578919,0.1781085150854524,ISR,MEX,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31015/1-isr-vs-mex,https://www.iihf.com//pdf/72/ihm072901_77a_3_0
1,ISL,18,BEL,1,5.046431887410207,0.4082399288509886,ISL,BEL,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31016/2-isl-vs-bel,https://www.iihf.com//pdf/72/ihm072902_77a_3_0
1,ISL,13,BEL,1,5.866816883894201,2.51929253395578,ISL,BEL,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31016/2-isl-vs-bel,https://www.iihf.com//pdf/72/ihm072902_77a_3_0
2,ISL,16,BEL,1,0.3105702688315145,0.3314711299614608,ISL,BEL,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31016/2-isl-vs-bel,https://www.iihf.com//pdf/72/ihm072902_77a_3_0
3,BEL,18,ISL,20,4.934563814213468,0.6769307249643344,ISL,BEL,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31016/2-isl-vs-bel,https://www.iihf.com//pdf/72/ihm072902_77a_3_0
1,TUR,9,TPE,20,5.232882739413255,1.2910800458487317,TPE,TUR,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31017/3-tpe-vs-tur,https://www.iihf.com//pdf/72/ihm072903_77a_3_0
1,TPE,16,TUR,25,4.934563814213468,2.9032242874128964,TPE,TUR,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31017/3-tpe-vs-tur,https://www.iihf.com//pdf/72/ihm072903_77a_3_0
1,TPE,12,TUR,25,2.697148655842428,2.8266299363105043,TPE,TUR,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31017/3-tpe-vs-tur,https://www.iihf.com//pdf/72/ihm072903_77a_3_0
1,TPE,11,TUR,25,0.7580557958477508,0.6771057078673812,TPE,TUR,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31017/3-tpe-vs-tur,https://www.iihf.com//pdf/72/ihm072903_77a_3_0
2,TPE,11,TUR,1,1.093665923031895,0.523568110088326,TPE,TUR,https://www.iihf.com//en/events/2022/wm18iiia/gamecenter/playbyplay/31017/3-tpe-vs-tur,https://www.iihf.com//pdf/72/ihm072903_77a_3_0
