jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,de ANTUNANO Marcello,GK,0,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
25.0,PAYRO Tomas,GK,0,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
9.0,RULLAN Jack,D,1,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
13.0,SIERRA Luis,D,1,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
4.0,DIAZ Rene,F,1,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
3.0,SANCHEZ Rodrigo,F,1,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
10.0,TAPIA Alonso,F,1,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
8.0,MATSUBARA Toshio,D,2,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
15.0,ORTIZ Jorge,D,2,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
6.0,RULLAN Max,F,2,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
11.0,ESTEBAN Santiago,F,2,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
5.0,HASHIMURA Victor,F,2,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
2.0,CABIEDES Javier,D,3,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
17.0,GOMEZ Emilio,D,3,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
22.0,LANDA Jose,F,3,MEX,True,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/lineup/6448/1-mex-vs-tur,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
