period,team,player_number,shot_type,x,y,shot_chart_url,team1,team2,game_url
1,MEX,9,Shot,33.77237639929348,-22.202944796466838,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,12,Shot,45.88155485833914,-21.461243741428532,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,10,Shot,45.88155485833914,31.338379604225167,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,5,Shot,53.37683512278329,-11.902184467568446,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,5,Shot,49.42187330126714,-16.366497721450074,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,4,Shot,68.01004811779603,14.294983616232152,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,MEX,16,Shot,26.04653501410486,-34.69479410548712,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,TUR,15,Shot,-52.63614513979395,4.204388475676609,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,TUR,15,Goal,-71.3750972964828,-15.360875592554692,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,TUR,7,Shot,-86.3195547102595,4.931834173224566,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
1,TUR,21,Goal,-82.71785274212367,4.205107808893985,https://www.iihf.com//pdf/720/ihm720901_77a_1_0,MEX,TUR,https://www.iihf.com//en/events/2019/wm18iiia/gamecenter/playbyplay/6448/1-mex-vs-tur
