jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,MAK Julian Sheng,HKG,True,GK,19,1,18,94.74,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
25,WONG Chun Yeung Boyce,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
1,ANSAY Hugo,LUX,False,GK,41,4,37,90.24,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
25,FERRETTI Mathis,LUX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
1,CLEINWERCK Matthew,RSA,True,GK,18,4,14,77.78,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
20,HORN Alec,RSA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
20,CHUNG Sheng-Wei,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
25,HSIAO Po-Yu,TPE,False,GK,30,2,28,93.33,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
20,CHUNG Sheng-Wei,TPE,True,GK,1,0,1,100.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6482/3-tpe-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6482/3-tpe-vs-lux
25,HSIAO Po-Yu,TPE,True,GK,21,2,19,90.48,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6482/3-tpe-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6482/3-tpe-vs-lux
1,ANSAY Hugo,LUX,False,GK,30,7,23,76.67,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6482/3-tpe-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6482/3-tpe-vs-lux
25,FERRETTI Mathis,LUX,False,GK,8,2,6,75.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6482/3-tpe-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6482/3-tpe-vs-lux
1,MAK Julian Sheng,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6483/4-hkg-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6483/4-hkg-vs-rsa
25,WONG Chun Yeung Boyce,HKG,True,GK,28,5,23,82.14,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6483/4-hkg-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6483/4-hkg-vs-rsa
1,CLEINWERCK Matthew,RSA,False,GK,30,6,24,80.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6483/4-hkg-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6483/4-hkg-vs-rsa
20,HORN Alec,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6483/4-hkg-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6483/4-hkg-vs-rsa
20,CHUNG Sheng-Wei,TPE,True,GK,3,0,3,100.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6484/5-tpe-vs-hkg,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6484/5-tpe-vs-hkg
25,HSIAO Po-Yu,TPE,True,GK,11,1,10,90.91,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6484/5-tpe-vs-hkg,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6484/5-tpe-vs-hkg
1,MAK Julian Sheng,HKG,False,GK,5,3,2,40.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6484/5-tpe-vs-hkg,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6484/5-tpe-vs-hkg
25,WONG Chun Yeung Boyce,HKG,False,GK,29,6,23,79.31,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6484/5-tpe-vs-hkg,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6484/5-tpe-vs-hkg
1,ANSAY Hugo,LUX,True,GK,29,5,24,82.76,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6485/6-lux-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6485/6-lux-vs-rsa
25,FERRETTI Mathis,LUX,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6485/6-lux-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6485/6-lux-vs-rsa
1,CLEINWERCK Matthew,RSA,False,GK,23,5,18,78.26,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6485/6-lux-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6485/6-lux-vs-rsa
20,HORN Alec,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6485/6-lux-vs-rsa,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6485/6-lux-vs-rsa
