period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,RSA,3,BIH,1,4.226046371063469,1.13745575929202,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
1,BIH,19,RSA,1,0.6834741815278147,3.2102989478550947,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
1,BIH,22,RSA,1,3.4429523223316476,2.5963235396419218,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
2,BIH,19,RSA,1,1.130956197405053,3.095145214404892,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
2,BIH,8,RSA,1,0.31057094098968696,3.4406048094077657,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
2,BIH,7,RSA,1,2.585275858232737,1.3264035822799576,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
2,BIH,21,RSA,1,0.27328066661652883,1.982174218757525,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
2,RSA,17,BIH,1,3.2565003659834972,0.8690271699752885,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
3,RSA,17,BIH,1,5.531204934398521,0.7922583710857607,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
3,RSA,17,BIH,25,1.2055367461513695,0.4467993111987987,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
3,BIH,21,RSA,1,4.71082313015704,2.404402077534015,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
3,BIH,21,RSA,1,0.38515188315145066,1.8670204853073225,RSA,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih,https://www.iihf.com//pdf/73/ihm073901_77a_3_0
1,LUX,11,BIH,1,1.5038584212738924,3.5943168549739557,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,BIH,3,LUX,1,2.2496631288261915,2.1354490746240544,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,BIH,19,LUX,1,5.344756454618047,1.9436143012938034,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,BIH,22,LUX,1,4.822693472185255,2.1740956808654324,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,BIH,21,LUX,1,2.771726111258983,1.0993335666438706,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,BIH,19,LUX,1,5.046434156241682,2.9799925511865126,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
2,BIH,8,LUX,1,1.093665923031895,2.9799925511865126,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
2,BIH,19,LUX,1,0.5343123272972649,2.135536298517622,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
2,BIH,8,LUX,1,0.23599039224337062,3.6325268066315846,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
2,LUX,14,BIH,1,2.9208893398988556,0.3700305123092713,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
2,LUX,17,BIH,1,2.8836006121905777,0.9074110343041406,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
3,LUX,14,BIH,1,4.151465822317153,0.6771051727514696,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
3,BIH,21,LUX,1,4.785400585573596,3.1720889961974663,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
3,BIH,22,LUX,1,4.3006304897524625,1.5983296891939762,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
3,BIH,21,LUX,1,1.653018532073463,2.5195547407523944,BIH,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30960/2-bih-vs-lux,https://www.iihf.com//pdf/73/ihm073902_77a_3_0
1,LUX,10,RSA,20,1.3919878580857892,2.44261095895982,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,LUX,19,RSA,20,0.7207634392316845,1.9819992358544782,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,LUX,10,RSA,20,2.361534211993788,0.44662432829575227,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,RSA,17,LUX,25,3.9650153047644396,0.9457959688648159,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,RSA,21,LUX,25,0.4597334974713868,3.6710856538634835,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,RSA,17,LUX,25,3.0327596819270695,0.7154895721962333,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
2,RSA,3,LUX,25,4.375207468556102,3.977898642624979,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
2,RSA,14,LUX,25,3.592112226582523,3.5559329906451036,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
2,RSA,24,LUX,25,4.785399966798099,0.7922583710857607,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
3,LUX,16,RSA,20,1.6157292443933668,2.097151899072858,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
3,RSA,17,LUX,-1,2.9581780676071334,0.6771057078673812,RSA,LUX,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30961/3-rsa-vs-lux,https://www.iihf.com//pdf/73/ihm073903_77a_3_0
1,BIH,8,RSA,20,0.8699261378759648,2.097151899072858,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
1,BIH,19,RSA,20,4.71082313015704,3.17191401329442,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
1,BIH,19,RSA,20,1.802181760713335,1.0991585837408242,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
1,BIH,21,RSA,20,0.5716038394996008,3.4407797923108125,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
1,BIH,19,RSA,20,0.6461812949161565,2.3274582957414403,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
2,BIH,21,RSA,20,5.158302190666939,0.8306427705305248,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
2,RSA,17,BIH,25,2.9208893398988556,0.9841803683095796,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
2,RSA,3,BIH,25,2.9954709542187916,1.4829148191789825,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
3,RSA,17,BIH,25,4.2633366454366275,0.25487731397498026,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
3,RSA,22,BIH,25,4.748109692424942,3.0569357978631753,BIH,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30962/4-bih-vs-rsa,https://www.iihf.com//pdf/73/ihm073904_77a_3_0
1,LUX,11,BIH,25,3.5175316778362067,0.5619525095330902,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
1,BIH,19,LUX,25,1.168248436252329,2.6345334912995506,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
1,BIH,8,LUX,25,0.49702222517966466,1.9819992358544782,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
2,BIH,19,LUX,25,0.907214551166104,2.6345334912995506,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
2,BIH,7,LUX,25,0.8699245367243171,1.787015840501211,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
2,BIH,15,LUX,25,4.822690241171258,1.3294649804094063,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
2,BIH,19,LUX,25,4.300626919809786,2.74968615451793,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
2,BIH,19,LUX,25,0.6834734247898975,1.9052304369649509,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,LUX,23,BIH,1,3.9277246959409466,0.8687644280627627,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,LUX,7,BIH,1,2.1750831000593682,2.669855957498954,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,BIH,19,LUX,25,1.5411481900452486,1.5597708419620773,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,BIH,19,LUX,25,5.307463568006388,2.365842160070293,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,BIH,5,LUX,25,2.1005040590896993,2.0553566708084636,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,BIH,8,LUX,25,4.263337603140804,1.3678488447382589,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
3,BIH,21,LUX,25,1.615729804365185,0.523568110088326,LUX,BIH,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30963/5-lux-vs-bih,https://www.iihf.com//pdf/73/ihm073905_77a_3_0
1,LUX,7,RSA,1,0.08682942471642355,0.13648826972410477,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
1,LUX,16,RSA,1,1.7648903418859996,2.0587680347440056,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
1,RSA,13,LUX,1,3.554822664359862,0.8303805637339106,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
1,RSA,11,LUX,1,0.6461812949161565,2.404402077534015,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
1,RSA,16,LUX,1,0.8326332512643067,1.6365391057356935,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
2,RSA,11,LUX,1,0.8326342623511589,2.2508644797549597,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
2,RSA,3,LUX,25,1.4292781324589474,2.9799047921770336,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
2,LUX,7,RSA,1,2.0259224447697632,0.8657913240587045,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
2,LUX,14,RSA,1,2.2496631288261915,0.753873971640997,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
2,LUX,19,RSA,1,0.08682958477508651,0.17793406729831762,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
3,LUX,19,RSA,1,4.002305244687262,3.901217067629019,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
3,LUX,19,RSA,1,4.1141755479439945,1.4446176436277862,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
3,LUX,17,RSA,1,0.23599039224337062,2.4811703413076307,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
3,LUX,17,RSA,1,3.8158533529587295,3.4407797923108125,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
3,RSA,16,LUX,25,2.846307725578919,3.4789892088525294,LUX,RSA,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30964/6-lux-vs-rsa,https://www.iihf.com//pdf/73/ihm073906_77a_3_0
