jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,MAK Julian Sheng,GK,0,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
25.0,WONG Chun Yeung Boyce,GK,0,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
22.0,YAM Yi,D,1,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
18.0,HO Trevor Wan Keen,D,1,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
23.0,SHUM Michael Lee Heng,F,1,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
9.0,CHU Ryan Chak Hay,F,1,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
5.0,CHANG Ho Kwan Moses,F,1,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
13.0,LAW Ying Wang Andres,D,2,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
11.0,HSU Chuo Hong Marvin,F,2,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
24.0,KUNG Tsz Hin Petrus,F,2,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
17.0,LI Vinson,F,2,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
10.0,KEUNG Yuet Sang Ernest,F,2,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
12.0,WONG Tsz Ho,D,3,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
4.0,KWONG Hei Chit Gaius,D,3,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
2.0,HSU Chuo Xi Elvis,F,3,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
8.0,HO Zachary,F,3,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
7.0,LAU Cheuk Hin,F,3,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
16.0,ISHIZUKA Eito Yui To,F,4,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
14.0,TAM Chak Hin,F,4,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
15.0,LEE Yu Hin Eugene,D,4,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
,KAN Siu Him,He. Co.,5,HKG,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
1.0,ANSAY Hugo,GK,0,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
25.0,FERRETTI Mathis,GK,0,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
23.0,CHURCH David,D,1,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
8.0,SOMJEAN Kilian,F,1,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
14.0,FERRETTI Arthur,F,1,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
12.0,SHELEST Vladislav,F,1,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
13.0,MEIJER Niklas,F,1,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
5.0,BEISSAC Ken,D,2,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
15.0,ZRIKA Sami,D,2,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
11.0,BERAN Markus,F,2,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
17.0,WEYDERS Natan,F,2,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
18.0,MEDEDOVIC Dino,F,2,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
6.0,VAZZOLER Olivier,D,3,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
2.0,INGVASON Hilmir,D,3,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
9.0,AXMANN Felix,F,3,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
7.0,ELGAS Nicolas,F,3,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
24.0,VINCENS Anthony,D,3,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
22.0,MOREIRA Nicolas,F,4,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
16.0,WEYDERS Isaac,F,4,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
4.0,ROIZIN Anthony,F,4,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
,FICAL Petr,He. Co.,5,LUX,False,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux
1.0,CLEINWERCK Matthew,GK,0,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
20.0,HORN Alec,GK,0,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
13.0,SAAIMAN Ethon,D,1,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
5.0,LAMPRECHT Joubert,F,1,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
19.0,VENTER Tristan,F,1,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
8.0,KLUYTS Stefan,F,1,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
14.0,VENTER Reinhard,F,1,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
17.0,van der MERWE Johan,D,2,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
15.0,GELDENHUYS Josh,D,2,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
11.0,MEYER Luca,F,2,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
10.0,DELPORT Brandon,D,2,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
12.0,KAMISH Daanyal,F,2,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
4.0,YULE Brandon,D,3,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
18.0,MEYER Clayton,D,3,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
23.0,STRYDOM Ruan,F,3,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
21.0,BOTHA Armand,F,3,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
9.0,du TOIT Dirk,F,3,RSA,True,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/lineup/6481/2-rsa-vs-tpe,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6481/2-rsa-vs-tpe
