jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
5,CHANG Ho Kwan Moses,HKG,True,F,0,1,1,0,5,2.0,0:00,0.0,0:00,2,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
9,CHU Ryan Chak Hay,HKG,True,F,3,0,3,0,8,2.0,0:00,0.0,0:00,2,0:00,2,0:00,4,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
18,HO Trevor Wan Keen,HKG,True,D,0,1,1,0,2,2.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
22,YAM Yi,HKG,True,D,1,0,1,0,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
23,SHUM Michael Lee Heng,HKG,True,F,0,3,3,0,6,1.0,0:00,0.0,0:00,3,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
10,KEUNG Yuet Sang Ernest,HKG,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
11,HSU Chuo Hong Marvin,HKG,True,F,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
13,LAW Ying Wang Andres,HKG,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
17,LI Vinson,HKG,True,F,0,0,0,0,4,0.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
24,KUNG Tsz Hin Petrus,HKG,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/statistics/6480/1-hkg-vs-lux,https://www.iihf.com//en/events/2019/wm18iiib/gamecenter/playbyplay/6480/1-hkg-vs-lux,,,,
