jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
3,BEEK Oliver,RSA,True,F,1,1,2,0,3,0.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
11,SADAN Uzair,RSA,True,D,0,0,0,0,2,1.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
17,LEVI Yuval,RSA,True,F,3,1,4,2,10,3.0,0:00,0.0,0:00,1,0:00,4,0:00,5,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
18,van der MERWE Tiaan,RSA,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
24,MLANGENI Langa,RSA,True,F,0,2,2,0,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
4,SAUER Michael,RSA,True,F,0,1,1,0,2,1.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
7,BAKER Raees,RSA,True,D,0,0,0,0,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
13,BRANDT Matthew,RSA,True,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
14,BOOI Hlumelo,RSA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
22,KAMISH Mogamat,RSA,True,D,0,0,0,0,1,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/statistics/30959/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wm18iiib/gamecenter/playbyplay/30959/1-rsa-vs-bih
