jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,CHARLIN Stephane,SUI,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9610/1-sui-vs-kaz,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9610/1-sui-vs-kaz
30,HOLLENSTEIN Luca,SUI,True,GK,19,3,16,84.21,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9610/1-sui-vs-kaz,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9610/1-sui-vs-kaz
1,NUREK Vladislav,KAZ,False,GK,34,5,29,85.29,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9610/1-sui-vs-kaz,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9610/1-sui-vs-kaz
30,KALMYKOV Roman,KAZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9610/1-sui-vs-kaz,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9610/1-sui-vs-kaz
1,PARIK Lukas,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9611/2-cze-vs-rus,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9611/2-cze-vs-rus
2,DOSTAL Lukas,CZE,True,GK,36,3,33,91.67,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9611/2-cze-vs-rus,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9611/2-cze-vs-rus
1,MIFTAKHOV Amir,RUS,False,GK,5,0,5,100.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9611/2-cze-vs-rus,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9611/2-cze-vs-rus
30,ASKAROV Yaroslav,RUS,False,GK,17,4,13,76.47,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9611/2-cze-vs-rus,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9611/2-cze-vs-rus
1,ELIASSON Jesper,SWE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9612/3-swe-vs-fin,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9612/3-swe-vs-fin
30,ALNEFELT Hugo,SWE,True,GK,25,2,23,92.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9612/3-swe-vs-fin,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9612/3-swe-vs-fin
30,ANNUNEN Justus,FIN,False,GK,48,3,45,93.75,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9612/3-swe-vs-fin,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9612/3-swe-vs-fin
31,PATRIKAINEN Jasper,FIN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9612/3-swe-vs-fin,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9612/3-swe-vs-fin
1,DAWS Nicolas,CAN,True,GK,32,4,28,87.5,https://www.iihf.com//en/events/2020/wm20/gamecenter/statistics/9613/4-can-vs-usa,https://www.iihf.com//en/events/2020/wm20/gamecenter/playbyplay/9613/4-can-vs-usa
