period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
2,CZE,16,SUI,30,4.536832632514063,0.7271636564413515,https://www.iihf.com//pdf/421/ihm421a01_77a_3_0,CZE,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4145/1-cze-vs-sui
2,SUI,22,CZE,2,1.3520785835757347,0.533823127086059,https://www.iihf.com//pdf/421/ihm421a01_77a_3_0,CZE,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4145/1-cze-vs-sui
4,CZE,7,SUI,30,4.872069977118409,3.1111389666730584,https://www.iihf.com//pdf/421/ihm421a01_77a_3_0,CZE,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4145/1-cze-vs-sui
2,SVK,7,USA,1,0.9497949759805362,1.789269636932505,https://www.iihf.com//pdf/421/ihm421b02_77a_3_0,USA,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4146/2-usa-vs-svk
3,USA,26,SVK,2,5.374922934967457,2.822809731541955,https://www.iihf.com//pdf/421/ihm421b02_77a_3_0,USA,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4146/2-usa-vs-svk
3,USA,17,SVK,2,5.240831847202281,3.3065236747464395,https://www.iihf.com//pdf/421/ihm421b02_77a_3_0,USA,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4146/2-usa-vs-svk
1,CAN,26,DEN,30,5.3078782763582835,0.7916431324474766,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
1,CAN,21,DEN,30,1.083889917835641,0.8239889114966621,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
1,CAN,26,DEN,30,4.536832632514063,0.6949206626340767,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,20,DEN,1,2.3577909553648113,0.8883638335231825,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,20,DEN,1,4.201595530985731,0.5659555206255567,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,16,DEN,1,2.625980946916534,1.8555867825325687,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,14,DEN,30,4.2686431581774364,2.8551540263732544,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,14,DEN,30,5.374925903549988,0.46934046966478826,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
3,CAN,20,DEN,30,4.402737378130655,0.7271596770743693,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
2,CAN,14,DEN,30,4.939117589860931,1.2431194257773446,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
2,CAN,26,DEN,30,1.8549356791446505,0.8561259867586566,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
2,CAN,23,DEN,30,2.860645732562614,2.6937956694538814,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
2,CAN,21,DEN,30,1.9219832918871727,0.8562314399836848,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
2,CAN,11,DEN,30,4.972641396232192,2.855157010898491,https://www.iihf.com//pdf/421/ihm421a03_77a_3_0,CAN,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4147/3-can-vs-den
1,SWE,12,FIN,1,1.0168422906439367,3.08083957658551,https://www.iihf.com//pdf/421/ihm421b04_77a_3_0,FIN,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4148/4-fin-vs-swe
2,SWE,12,FIN,1,1.9890288357697608,0.9529529390112268,https://www.iihf.com//pdf/421/ihm421b04_77a_3_0,FIN,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4148/4-fin-vs-swe
3,FIN,25,SWE,30,5.173784234459759,0.5981963519153193,https://www.iihf.com//pdf/421/ihm421b04_77a_3_0,FIN,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4148/4-fin-vs-swe
2,RUS,26,DEN,1,5.0061649884258035,1.8878296035058222,https://www.iihf.com//pdf/421/ihm421a05_77a_2_0,RUS,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4149/5-rus-vs-den
1,RUS,24,DEN,1,4.805022364375887,3.3065248420626943,https://www.iihf.com//pdf/421/ihm421a05_77a_2_0,RUS,DEN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4149/5-rus-vs-den
1,SWE,23,SVK,30,5.10673539478317,1.8232937659998494,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
1,SWE,10,SVK,30,0.9833187356556321,1.4364576081871476,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
3,SWE,12,SVK,30,3.9669298702449565,3.3065236747464395,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
3,SWE,22,SVK,30,5.341402089954135,2.9196356889527797,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
1,SVK,23,SWE,30,5.307875322224935,3.3063676571059912,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
2,SWE,10,SVK,30,0.9497949759805362,1.7911071096365347,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
3,SVK,19,SWE,30,0.5810331058966646,0.46923302675626877,https://www.iihf.com//pdf/421/ihm421b06_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4150/6-svk-vs-swe
1,CAN,8,SUI,29,1.5196982015439817,1.0173283979246612,https://www.iihf.com//pdf/421/ihm421a07_77a_3_0,SUI,CAN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4151/7-sui-vs-can
2,SUI,23,CAN,31,0.31284427399142084,3.628775797490014,https://www.iihf.com//pdf/421/ihm421a07_77a_3_0,SUI,CAN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4151/7-sui-vs-can
2,CAN,16,SUI,29,1.4191261963182569,2.790569895093938,https://www.iihf.com//pdf/421/ihm421a07_77a_3_0,SUI,CAN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4151/7-sui-vs-can
2,CAN,6,SUI,29,4.704450945262104,0.3402736809642004,https://www.iihf.com//pdf/421/ihm421a07_77a_3_0,SUI,CAN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4151/7-sui-vs-can
3,SUI,23,CAN,31,0.5810331058966646,3.370848152330168,https://www.iihf.com//pdf/421/ihm421a07_77a_3_0,SUI,CAN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4151/7-sui-vs-can
1,FIN,21,KAZ,30,5.341402089954135,2.1136178629760036,https://www.iihf.com//pdf/421/ihm421b08_77a_3_0,FIN,KAZ,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4152/8-fin-vs-kaz
1,FIN,25,KAZ,30,5.374925903549988,2.0812720839268186,https://www.iihf.com//pdf/421/ihm421b08_77a_3_0,FIN,KAZ,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4152/8-fin-vs-kaz
3,FIN,24,KAZ,30,0.6480816341273001,0.46933847998129696,https://www.iihf.com//pdf/421/ihm421b08_77a_3_0,FIN,KAZ,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4152/8-fin-vs-kaz
3,FIN,10,KAZ,30,1.3185558371839639,3.177456886045852,https://www.iihf.com//pdf/421/ihm421b08_77a_3_0,FIN,KAZ,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4152/8-fin-vs-kaz
2,FIN,12,KAZ,30,4.670927138890843,3.048601003795321,https://www.iihf.com//pdf/421/ihm421b08_77a_3_0,FIN,KAZ,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4152/8-fin-vs-kaz
1,RUS,9,CZE,2,1.385603464375668,2.5326426148811874,https://www.iihf.com//pdf/421/ihm421a09_77a_3_0,CZE,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4153/9-cze-vs-rus
2,CZE,29,RUS,20,2.659504243297291,3.2419405383088686,https://www.iihf.com//pdf/421/ihm421a09_77a_3_0,CZE,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4153/9-cze-vs-rus
2,RUS,15,CZE,2,1.6202690345458233,1.6943846157672469,https://www.iihf.com//pdf/421/ihm421a09_77a_3_0,CZE,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4153/9-cze-vs-rus
1,USA,28,KAZ,1,5.341402089954135,3.4353826819484268,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
1,USA,18,KAZ,1,0.6816051891156049,3.46762350521956,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
1,USA,28,KAZ,30,2.9612180484448656,0.30803277306347265,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
1,USA,28,KAZ,30,5.274354462762432,0.9528472488031436,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
3,USA,14,KAZ,1,2.3913147689606635,0.46933847998129696,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
1,KAZ,6,USA,30,4.972641396232192,2.1779945537402186,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
2,USA,8,KAZ,30,4.939117589860931,1.0173291483657239,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
2,USA,11,KAZ,30,5.1067366217172365,0.37261996547899123,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
2,USA,9,KAZ,30,0.7821759441242309,3.4031446947576813,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
3,KAZ,25,USA,30,1.8214118727733895,0.43699418514999744,https://www.iihf.com//pdf/421/ihm421b10_77a_3_0,KAZ,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4154/10-kaz-vs-usa
2,SUI,4,DEN,30,1.0503661042397887,1.75850017658441,https://www.iihf.com//pdf/421/ihm421a11_77a_3_0,DEN,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4155/11-den-vs-sui
1,SUI,23,DEN,30,5.140260428088498,1.9522570590843826,https://www.iihf.com//pdf/421/ihm421a11_77a_3_0,DEN,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4155/11-den-vs-sui
1,SUI,23,DEN,30,1.7878880664021284,0.4691831679782408,https://www.iihf.com//pdf/421/ihm421a11_77a_3_0,DEN,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4155/11-den-vs-sui
3,SUI,23,DEN,30,1.1174140078368415,0.3402199595099411,https://www.iihf.com//pdf/421/ihm421a11_77a_3_0,DEN,SUI,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4155/11-den-vs-sui
1,FIN,15,SVK,2,0.7151290027114571,2.693846233816105,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
1,FIN,22,SVK,2,4.235119344581584,0.4048592038134262,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
2,SVK,26,FIN,1,0.815700184891466,3.209699707019106,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
3,FIN,2,SVK,2,0.9833187356556321,3.2420420121669147,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
2,FIN,34,SVK,2,0.9497949759805362,2.7582773320334066,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
2,FIN,29,SVK,2,2.357790705853632,3.048495550570293,https://www.iihf.com//pdf/421/ihm421b12_77a_3_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4156/12-svk-vs-fin
1,CAN,14,CZE,30,5.3078782763582835,2.919635957650592,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
1,CAN,20,CZE,30,2.156649108219888,0.6304390160918101,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
1,CAN,22,CZE,30,5.240830649166579,3.2420436929411767,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
3,CAN,26,CZE,1,4.402737378130655,0.2757920183846756,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
1,CZE,17,CAN,1,2.793598119820092,3.17756204639891,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
2,CAN,16,CZE,30,5.374922934967457,0.6304411625720641,https://www.iihf.com//pdf/421/ihm421a13_77a_3_0,CAN,CZE,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4157/13-can-vs-cze
1,SWE,16,USA,1,1.9219829302640181,2.210235377011352,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
3,SWE,12,USA,1,5.207306835570726,3.209803170560643,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
2,SWE,26,USA,1,3.6316932791016185,0.6304411625720641,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
2,SWE,10,USA,1,3.0953123771614415,0.6304411625720641,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
3,USA,26,SWE,30,4.503308107034537,0.6304371832050815,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
3,USA,11,SWE,30,5.173784234459759,1.2753592622253613,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
3,USA,11,SWE,30,1.8884594855159116,2.2748210528410193,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
3,USA,11,SWE,30,1.6873166472883452,3.2742828434566773,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
4,SWE,3,USA,1,1.0503661042397887,2.5648307115529203,https://www.iihf.com//pdf/421/ihm421b14_77a_3_0,SWE,USA,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4158/14-swe-vs-usa
1,SUI,6,RUS,30,0.9833187356556321,2.242476200282485,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
1,SUI,18,RUS,30,0.9162711084639277,3.2096979138919917,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
2,RUS,5,SUI,29,1.251508468599807,2.9819674985201727,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
2,RUS,28,SUI,29,0.7821763712956138,1.6943846157672469,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
3,SUI,10,RUS,30,0.7486525576997617,2.2424747683262285,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
1,RUS,12,SUI,29,5.0732128153459755,1.8234514483773014,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
2,SUI,6,RUS,30,0.7821759441242309,2.4036809144585325,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
3,RUS,29,SUI,29,4.872069977118409,1.371976302869621,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
3,RUS,4,SUI,29,1.3856023899469958,0.9847202256301077,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
3,RUS,16,SUI,29,2.257219286739849,0.46923302675626877,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
3,RUS,14,SUI,29,3.8663557859805775,1.8234514044678343,https://www.iihf.com//pdf/421/ihm421a15_77a_3_0,SUI,RUS,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4159/15-sui-vs-rus
1,SVK,27,KAZ,1,4.067500276602322,1.1141553260953638,https://www.iihf.com//pdf/421/ihm421b16_77a_1_0,KAZ,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4160/16-kaz-vs-svk
1,SVK,13,KAZ,1,4.503308818918211,2.758274656338222,https://www.iihf.com//pdf/421/ihm421b16_77a_1_0,KAZ,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4160/16-kaz-vs-svk
1,SVK,8,KAZ,1,0.9162711084639277,0.3725134247642412,https://www.iihf.com//pdf/421/ihm421b16_77a_1_0,KAZ,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4160/16-kaz-vs-svk
1,SVK,23,KAZ,30,1.6202691251164434,0.3724616930063389,https://www.iihf.com//pdf/421/ihm421b16_77a_1_0,KAZ,SVK,https://www.iihf.com//en/events/2019/wm20/gamecenter/playbyplay/4160/16-kaz-vs-svk
