jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
29.0,FATTON Thibault,GK,0,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
1.0,PATENAUDE Noah,GK,0,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
5.0,CHANTON Giancarlo,D,1,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
18.0,BARAGANO Inaki,D,1,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
8.0,KNAK Simon,F,1,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
14.0,CANONICA Lorenzo,F,1,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
20.0,BOTTINI Stefano,F,1,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
24.0,MEIER Noah,D,2,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
23.0,FIEDLER Cedric,D,2,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
28.0,FUST Raymond,F,2,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
12.0,ALLENSPACH Dario,F,2,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
9.0,BIASCA Attilio,F,2,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
26.0,PEZZULLO Rocco,D,3,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
21.0,VOUARDOUX Nathan,D,3,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
11.0,MARCHAND Lionel,F,3,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
10.0,SCHLAEPFER Elvis,F,3,SUI,True,https://www.iihf.com//en/events/2021/wm20/gamecenter/lineup/22716/1-sui-vs-svk,https://www.iihf.com//en/events/2021/wm20/gamecenter/playbyplay/22716/1-sui-vs-svk
