period,team,player_number,shot_type,x,y,shot_chart_url,team1,team2,game_url
1,CZE,26,Block,42.09766075760257,4.138284036597433,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,27,Block,42.46020044274775,29.401831821165544,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,25,Shot,82.37121971339016,13.16077782023423,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,4,Block,49.19191565424475,42.18869623871299,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,25,Miss,55.12718218808669,30.842225226535078,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,3,Block,39.66714187597273,-41.6355318490491,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,4,Miss,32.42767753822949,21.665000584243572,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,3,Block,34.459824059175446,-38.9254839155482,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,25,Shot,67.44141646339429,46.144112640768185,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,16,Shot,76.07632838634385,12.433691789294961,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,21,Shot,69.0563121438206,18.958763404096615,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,4,Shot,32.481625811728804,-7.021902508255707,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,4,Shot,34.09655565104504,40.20573148165447,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,9,Miss,42.64456735800752,43.99589820399929,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,29,Miss,55.12718218808669,15.507288447259285,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,25,Miss,54.23732033276423,19.307645723516913,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,21,Shot,63.849017099616646,-16.20638328165262,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
1,CZE,25,Shot,55.37888766169914,-11.527137829614617,https://www.iihf.com//pdf/393/ihm393a01_77a_3_0,CZE,SVK,https://www.iihf.com//en/events/2022/wm20/gamecenter/playbyplay/37412/1-cze-vs-svk
