jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,FAYEN VESTAVIK Henrik,NOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14512/1-nor-vs-slo,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14512/1-nor-vs-slo
25,BREIVOLD Tobias,NOR,True,GK,11,2,9,81.82,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14512/1-nor-vs-slo,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14512/1-nor-vs-slo
1,USNIK Val,SLO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14512/1-nor-vs-slo,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14512/1-nor-vs-slo
25,KOGOVSEK Ziga,SLO,False,GK,29,6,23,79.31,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14512/1-nor-vs-slo,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14512/1-nor-vs-slo
1,SOEGAARD Mads,DEN,True,GK,35,3,32,91.43,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14513/2-den-vs-lat,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14513/2-den-vs-lat
20,DICHOW Frederik,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14513/2-den-vs-lat,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14513/2-den-vs-lat
1,VORIS Janis,LAT,False,GK,19,0,19,100.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14513/2-den-vs-lat,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14513/2-den-vs-lat
30,BRUVERIS Bruno,LAT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14513/2-den-vs-lat,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14513/2-den-vs-lat
20,KOLOSOV Alexei,BLR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14514/3-blr-vs-aut,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14514/3-blr-vs-aut
25,TOLOPILO Nikita,BLR,True,GK,22,3,19,86.36,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14514/3-blr-vs-aut,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14514/3-blr-vs-aut
20,EGGER Luca,AUT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14514/3-blr-vs-aut,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14514/3-blr-vs-aut
25,SCHMIDT Alexander,AUT,False,GK,41,4,37,90.24,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14514/3-blr-vs-aut,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14514/3-blr-vs-aut
1,USNIK Val,SLO,True,GK,42,2,40,95.24,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14515/4-slo-vs-den,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14515/4-slo-vs-den
25,KOGOVSEK Ziga,SLO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14515/4-slo-vs-den,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14515/4-slo-vs-den
1,SOEGAARD Mads,DEN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14515/4-slo-vs-den,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14515/4-slo-vs-den
20,DICHOW Frederik,DEN,False,GK,14,1,13,92.86,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14515/4-slo-vs-den,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14515/4-slo-vs-den
20,EGGER Luca,AUT,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14516/5-aut-vs-nor,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14516/5-aut-vs-nor
25,SCHMIDT Alexander,AUT,True,GK,16,2,14,87.5,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14516/5-aut-vs-nor,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14516/5-aut-vs-nor
20,FAYEN VESTAVIK Henrik,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14516/5-aut-vs-nor,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14516/5-aut-vs-nor
25,BREIVOLD Tobias,NOR,False,GK,28,3,25,89.29,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14516/5-aut-vs-nor,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14516/5-aut-vs-nor
1,VORIS Janis,LAT,True,GK,20,2,18,90.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14517/6-lat-vs-blr,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14517/6-lat-vs-blr
30,BRUVERIS Bruno,LAT,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14517/6-lat-vs-blr,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14517/6-lat-vs-blr
20,KOLOSOV Alexei,BLR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/statistics/14517/6-lat-vs-blr,https://www.iihf.com//en/events/2020/wm20ia/gamecenter/playbyplay/14517/6-lat-vs-blr
