jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
25.0,RICHARD Gaetan,GK,0,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
20.0,DUQUENNE Valentin,GK,0,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
3.0,PENZ Jeremie,D,1,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
4.0,SCHMITT Charles,D,1,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
18.0,DAIR Flavian,F,1,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
15.0,FABRE Dylan,F,1,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
12.0,SARLIN Hugo,F,1,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
8.0,MONY Mathieu,D,2,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
5.0,ONNO Lucien,D,2,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
14.0,BRUCHE Baptiste,F,2,FRA,True,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/lineup/6240/1-fra-vs-lat,https://www.iihf.com//en/events/2019/wm20ia/gamecenter/playbyplay/6240/1-fra-vs-lat
