period,team,player_number,shot_type,x,y,team1,team2,game_url,shot_chart_url
1,KAZ,18,Shot,33.49497205415554,34.67841500230739,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,28,Goal,81.40534294167227,-7.528164659448656,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,25,Shot,80.19602714770554,-17.14554130486016,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,7,Miss,45.248226266406164,20.79556079318347,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,23,Shot,50.896626442599,-25.77042079809644,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,4,Shot,30.075712717146644,-16.374895651313224,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,4,Miss,30.087691101216166,-6.790562661950631,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,14,Shot,51.58875387040163,-22.551872787837425,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,10,Shot,52.775228753300496,5.361110543177105,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,28,Miss,27.970044878770324,-47.88151359349713,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,13,Miss,52.259862194599435,11.508720615652322,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,9,Shot,64.41764875401836,-42.65970249876392,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,22,Miss,34.82523309107495,19.58605622360969,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,7,Shot,42.92922477410772,30.67734377692409,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,4,Shot,39.864170353100604,-14.986810901532508,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,4,Miss,44.81978269628547,-1.9653439477297496,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,21,Miss,41.4168057634775,12.249177110044691,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,KAZ,12,Goal,57.64282502342715,-3.4623505900047817,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,9,Shot,-50.695646920535616,-34.62869537540173,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,13,Shot,-59.78180916578384,-36.05018344784004,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,9,Miss,-50.93102444476054,25.95091063672571,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,16,Miss,-60.0497970435972,40.626064712837035,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,23,Shot,-26.296794428043484,31.403704765652193,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,9,Shot,-77.58912314476335,0.8663911883769515,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,8,Shot,-38.171722606231974,12.929432264935372,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,2,Shot,-60.342481798831415,12.711873929636191,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,20,Shot,-44.68465012771437,24.763582653524068,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,22,Shot,-62.83892164488175,-11.18286837717558,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,8,Shot,-30.393697823523837,-16.881152093512398,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,4,Shot,-34.409473855415655,-1.5026471281382427,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,20,Shot,-45.640427254309,27.834727298656148,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
1,HUN,8,Shot,-51.15704243314409,10.318526717568766,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,15,Shot,35.77207197480405,37.98090234824143,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,10,Shot,79.43801860752066,8.401663545092518,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,13,Shot,73.90111304806595,7.376770707663432,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,23,Shot,37.285105845453046,-33.60653429150052,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,8,Shot,32.613467740569774,20.531773880680404,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,20,Shot,48.12818504916828,-13.37791368999305,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,18,Miss,83.99813932307254,17.49025605881471,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,22,Shot,79.96531800510465,3.0964326331190577,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
2,HUN,9,Shot,75.0300188151327,1.2960329339319756,HUN,KAZ,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30864/1-hun-vs-kaz,https://www.iihf.com//pdf/40/ihm040901_77a_4_0
