jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
6,SKJELLERUP Mikkel,DEN,True,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
13,ALMQUIST Marcus,DEN,True,F,0,0,0,0,5,-2.0,0:00,0.0,0:00,2,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
21,BRAENDGAARD Frederik,DEN,True,F,0,1,1,2,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
22,LARSEN Kasper,DEN,True,D,1,0,1,0,6,0.0,0:00,0.0,0:00,3,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
23,BANG Lukas,DEN,True,F,0,1,1,0,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
2,BACK William,DEN,True,D,0,0,0,2,1,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
5,NIELSEN Mikkel,DEN,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
12,MOELGAARD Oscar,DEN,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
16,NIELSSON Andreas,DEN,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
18,SCHIOLDAN Albert,DEN,True,F,0,0,0,0,1,-3.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
4,ALS Anton,DEN,True,D,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/statistics/30866/3-den-vs-blr,https://www.iihf.com//en/events/2022/wm20ia/gamecenter/playbyplay/30866/3-den-vs-blr
