jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,FADANI Davide,ITA,True,GK,15,6,9,60.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol
20,RABANSER Jakob,ITA,True,GK,18,9,9,50.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol
1,LIPINSKI Sebastian,POL,False,GK,18,3,15,83.33,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol
20,MIARKA Maciej,POL,False,GK,1,0,1,100.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol
1,JOGI Christopher Kullervo,EST,True,GK,28,5,23,82.14,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14529/2-est-vs-fra,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14529/2-est-vs-fra
29,TEOR Mark,EST,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14529/2-est-vs-fra,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14529/2-est-vs-fra
20,DUQUENNE Valentin,FRA,False,GK,18,1,17,94.44,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14529/2-est-vs-fra,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14529/2-est-vs-fra
25,GOURDIN Florian,FRA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14529/2-est-vs-fra,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14529/2-est-vs-fra
1,OHANDZHANYAN Artur,UKR,True,GK,24,5,19,79.17,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14530/3-ukr-vs-hun,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14530/3-ukr-vs-hun
20,HURKO Vladyslav,UKR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14530/3-ukr-vs-hun,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14530/3-ukr-vs-hun
1,MARKUS Levente,HUN,False,GK,22,1,21,95.45,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14530/3-ukr-vs-hun,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14530/3-ukr-vs-hun
25,HORVATH Dominik,HUN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14530/3-ukr-vs-hun,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14530/3-ukr-vs-hun
1,MARKUS Levente,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14531/4-hun-vs-est,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14531/4-hun-vs-est
