jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
4,de TONI Edgar,ITA,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
11,TOMASINI Patrick,ITA,True,F,0,0,0,2,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
12,SORARUF Daniel,ITA,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
14,SOLVA Michael,ITA,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
23,DELUCA Stephan,ITA,True,F,1,0,1,0,2,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
2,SALVAI Filippo,ITA,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
7,GROSSRUBATSCHER Alex,ITA,True,D,1,1,2,2,2,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
9,STABLUM Alessio,ITA,True,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
15,DEMETZ Patrick,ITA,True,F,0,0,0,0,2,-5.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
16,BOSSI Davide,ITA,True,F,0,0,0,0,1,-4.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
3,TAUFER Francesco,ITA,True,D,0,0,0,0,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
5,ZECCHETTO Alex,ITA,True,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
8,TOFFOLI Giovanni,ITA,True,F,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
10,LINDER Tim,ITA,True,D,0,0,0,2,1,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
22,ZARDINI LACEDELLI Noah,ITA,True,F,0,0,0,2,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
13,OEHLER Manuel,ITA,True,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,3,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
18,ANDREOTTI Dino,ITA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
19,DELUCA Rene,ITA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
21,SOELVA Maximilian,ITA,True,F,1,0,1,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/statistics/14528/1-ita-vs-pol,https://www.iihf.com//en/events/2020/wm20ib/gamecenter/playbyplay/14528/1-ita-vs-pol,,,,
