jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
3,DAKHNOVSKYI Oleksii,UKR,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
11,SIMCHUK Mykhailo,UKR,True,F,1,0,1,0,3,0.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
18,HONCHARENKO Denys,UKR,True,F,0,1,1,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
21,CHOLACH Artur,UKR,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
24,KORZHYLETSKYI Danylo,UKR,True,F,0,1,1,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
2,PONOMARENKO Artem,UKR,True,D,0,0,0,2,2,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
13,BORODAI Denys,UKR,True,F,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
14,SHAPOVALOV Oleksandr,UKR,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
19,HREBENYK Artem,UKR,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
23,TRAKHT Daniil,UKR,True,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
5,SUSHKOV Vladyslav,UKR,True,D,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
7,YEVTUKHOV Andri,UKR,True,D,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
8,PALIICHUK Arsen,UKR,True,D,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/statistics/29817/4-ukr-vs-jpn,https://www.iihf.com//en/events/2022/wm20ib/gamecenter/playbyplay/29817/4-ukr-vs-jpn,,
