jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BAE Sangwon,KOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
20,KIM Tae Kyung,KOR,True,GK,35,2,33,94.29,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
1,ADORJAN Ors,ROU,False,GK,32,1,31,96.88,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
20,SZOPOS Magor,ROU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
1,SERNA Lucas,ESP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est
25,BARBO Raul,ESP,True,GK,33,2,31,93.94,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est
1,JOGI Christopher Kullervo,EST,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est
30,SOOVIK Oliver,EST,False,GK,23,1,22,95.65,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est
1,KERLIN William,GBR,True,GK,9,4,5,55.56,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6290/3-gbr-vs-ltu,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6290/3-gbr-vs-ltu
25,McLAUGHLIN Jordan,GBR,True,GK,10,2,8,80.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6290/3-gbr-vs-ltu,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6290/3-gbr-vs-ltu
1,LUBYS Laurynas,LTU,False,GK,54,4,50,92.59,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6290/3-gbr-vs-ltu,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6290/3-gbr-vs-ltu
20,PETIUL Martin,LTU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6290/3-gbr-vs-ltu,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6290/3-gbr-vs-ltu
1,ADORJAN Ors,ROU,True,GK,37,2,35,94.59,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6291/4-rou-vs-esp,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6291/4-rou-vs-esp
20,SZOPOS Magor,ROU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6291/4-rou-vs-esp,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6291/4-rou-vs-esp
1,SERNA Lucas,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6291/4-rou-vs-esp,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6291/4-rou-vs-esp
