jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,KIM Tae Kyung,GK,0,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
1.0,BAE Sangwon,GK,0,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
23.0,JEE Hyoseok,D,1,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
16.0,PARK Beomjun,D,1,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
22.0,KIM Seokhwan,D,1,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
14.0,KIM Geon Woo,F,1,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
9.0,KWON Hojae,F,1,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
17.0,LIM Jungi,D,2,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
13.0,LEE Heemin,D,2,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
8.0,YANG Junkyung,F,2,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
4.0,KIM Daehyun,F,2,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
10.0,JIN Geonho,F,2,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
18.0,KWON Minseok,D,3,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
15.0,LEE Sunghyeok,D,3,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
7.0,JEONG Duck Kyu,F,3,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
3.0,LEE Junyoung,F,3,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
11.0,YUN Jiseok,F,3,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
5.0,CHOI Jiwoo,F,4,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
12.0,CHOE Jaejun,F,4,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
2.0,JEE Jonghwan,F,4,KOR,True,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/lineup/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou
