jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
9,KWON Hojae,KOR,True,F,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
14,KIM Geon Woo,KOR,True,F,0,0,0,0,4,0.0,0:00,0.0,0:00,2,0:00,2,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
16,PARK Beomjun,KOR,True,D,0,1,1,0,3,0.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
22,KIM Seokhwan,KOR,True,D,0,0,0,0,3,-1.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
23,JEE Hyoseok,KOR,True,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
4,KIM Daehyun,KOR,True,F,0,0,0,0,2,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
8,YANG Junkyung,KOR,True,F,1,0,1,0,5,0.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,1.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
10,JIN Geonho,KOR,True,F,0,0,0,0,8,0.0,0:00,0.0,0:00,1,0:00,4,0:00,3,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
13,LEE Heemin,KOR,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
17,LIM Jungi,KOR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
