jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
2,FRANCIS Aren,GBR,True,D,0,0,0,0,1,2.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
10,STENTON Liam,GBR,True,D,1,0,1,0,3,1.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
17,GRAHAM Alex,GBR,True,F,1,1,2,0,3,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
18,RIPLEY Nathan,GBR,True,F,0,1,1,0,3,0.0,0:00,0.0,0:00,0,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
19,HAREWOOD Bayley,GBR,True,F,0,1,1,2,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
5,BOWERING Bradley,GBR,True,D,0,2,2,0,2,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
6,McGILL Calum,GBR,True,D,0,1,1,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
13,LINDGREN juha,GBR,True,F,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
15,HOPKINS Jack,GBR,True,F,0,2,2,2,3,3.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
16,NEILSON Logan,GBR,True,F,3,0,3,2,7,3.0,0:00,0.0,0:00,1,0:00,3,0:00,3,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
3,STEELE Liam,GBR,True,D,0,1,1,0,2,1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
4,MITCHELL-KING Rhodes,GBR,True,D,0,0,0,0,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
14,HOWELLS Finley,GBR,True,F,1,2,3,0,3,0.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
21,McKENZIE-AHMED Zaine,GBR,True,F,1,1,2,0,4,0.0,0:00,0.0,0:00,2,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
23,WATKINS Samuel,GBR,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
7,ENDICOTT Oliver,GBR,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
8,COOPER Samuel,GBR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
9,DELL Owen,GBR,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
11,GOODCHILD Jack,GBR,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
12,RUSSELL Cain,GBR,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
20,BRINE Lucas,GBR,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/statistics/29831/1-gbr-vs-esp,https://www.iihf.com//en/events/2022/wm20iia/gamecenter/playbyplay/29831/1-gbr-vs-esp,,,,
