jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,REISINGER Yehonatan,ISR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6320/1-isr-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6320/1-isr-vs-bel
20,WERNER Raz,ISR,True,GK,58,6,52,89.66,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6320/1-isr-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6320/1-isr-vs-bel
1,van NOTEN Ignace,BEL,False,GK,17,3,14,82.35,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6320/1-isr-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6320/1-isr-vs-bel
20,vander WEYDE Cisse,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6320/1-isr-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6320/1-isr-vs-bel
1,MITIC Jug,SRB,True,GK,13,1,12,92.31,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6321/2-srb-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6321/2-srb-vs-mex
25,VASIC Bojan,SRB,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6321/2-srb-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6321/2-srb-vs-mex
1,GOMEZ Santiago,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6321/2-srb-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6321/2-srb-vs-mex
25,de la VEGA Sebastian,MEX,False,GK,35,6,29,82.86,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6321/2-srb-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6321/2-srb-vs-mex
1,GORSIC Luka,CRO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6322/3-cro-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6322/3-cro-vs-ned
25,TROHA Domagoj,CRO,True,GK,29,0,29,100.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6322/3-cro-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6322/3-cro-vs-ned
1,MISSLER Jaimy,NED,False,GK,28,7,21,75.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6322/3-cro-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6322/3-cro-vs-ned
25,KOSTERS Sander,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6322/3-cro-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6322/3-cro-vs-ned
20,GARCIA del VALLE Gerardo,MEX,True,GK,5,1,4,80.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6323/4-mex-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6323/4-mex-vs-isr
25,de la VEGA Sebastian,MEX,True,GK,24,4,20,83.33,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6323/4-mex-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6323/4-mex-vs-isr
1,REISINGER Yehonatan,ISR,False,GK,31,1,30,96.77,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6323/4-mex-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6323/4-mex-vs-isr
20,WERNER Raz,ISR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6323/4-mex-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6323/4-mex-vs-isr
1,MISSLER Jaimy,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6324/5-ned-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6324/5-ned-vs-bel
25,KOSTERS Sander,NED,True,GK,44,4,40,90.91,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6324/5-ned-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6324/5-ned-vs-bel
1,van NOTEN Ignace,BEL,False,GK,22,5,17,77.27,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6324/5-ned-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6324/5-ned-vs-bel
20,vander WEYDE Cisse,BEL,False,GK,16,4,12,75.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6324/5-ned-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6324/5-ned-vs-bel
1,MITIC Jug,SRB,True,GK,23,1,22,95.65,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6325/6-srb-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6325/6-srb-vs-cro
25,VASIC Bojan,SRB,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6325/6-srb-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6325/6-srb-vs-cro
1,GORSIC Luka,CRO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6325/6-srb-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6325/6-srb-vs-cro
25,TROHA Domagoj,CRO,False,GK,43,4,39,90.7,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6325/6-srb-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6325/6-srb-vs-cro
1,MISSLER Jaimy,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6326/7-ned-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6326/7-ned-vs-mex
25,KOSTERS Sander,NED,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6326/7-ned-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6326/7-ned-vs-mex
20,GARCIA del VALLE Gerardo,MEX,False,GK,42,7,35,83.33,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6326/7-ned-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6326/7-ned-vs-mex
25,de la VEGA Sebastian,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6326/7-ned-vs-mex,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6326/7-ned-vs-mex
1,MITIC Jug,SRB,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6327/8-srb-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6327/8-srb-vs-isr
25,VASIC Bojan,SRB,True,GK,4,0,4,100.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6327/8-srb-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6327/8-srb-vs-isr
1,REISINGER Yehonatan,ISR,False,GK,30,1,29,96.67,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6327/8-srb-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6327/8-srb-vs-isr
20,WERNER Raz,ISR,False,GK,10,4,6,60.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6327/8-srb-vs-isr,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6327/8-srb-vs-isr
1,GORSIC Luka,CRO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6328/9-cro-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6328/9-cro-vs-bel
25,TROHA Domagoj,CRO,True,GK,30,4,26,86.67,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6328/9-cro-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6328/9-cro-vs-bel
1,van NOTEN Ignace,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6328/9-cro-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6328/9-cro-vs-bel
20,vander WEYDE Cisse,BEL,False,GK,25,5,20,80.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6328/9-cro-vs-bel,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6328/9-cro-vs-bel
1,van NOTEN Ignace,BEL,True,GK,45,5,40,88.89,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6329/10-bel-vs-srb,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6329/10-bel-vs-srb
20,vander WEYDE Cisse,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6329/10-bel-vs-srb,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6329/10-bel-vs-srb
1,MITIC Jug,SRB,False,GK,31,1,30,96.77,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6329/10-bel-vs-srb,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6329/10-bel-vs-srb
25,VASIC Bojan,SRB,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6329/10-bel-vs-srb,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6329/10-bel-vs-srb
1,REISINGER Yehonatan,ISR,True,GK,58,7,51,87.93,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6330/11-isr-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6330/11-isr-vs-ned
20,WERNER Raz,ISR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6330/11-isr-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6330/11-isr-vs-ned
1,MISSLER Jaimy,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6330/11-isr-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6330/11-isr-vs-ned
25,KOSTERS Sander,NED,False,GK,22,3,19,86.36,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6330/11-isr-vs-ned,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6330/11-isr-vs-ned
20,GARCIA del VALLE Gerardo,MEX,True,GK,1,0,1,100.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6331/12-mex-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6331/12-mex-vs-cro
25,de la VEGA Sebastian,MEX,True,GK,39,3,36,92.31,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6331/12-mex-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6331/12-mex-vs-cro
1,GORSIC Luka,CRO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/statistics/6331/12-mex-vs-cro,https://www.iihf.com//en/events/2019/wm20iib/gamecenter/playbyplay/6331/12-mex-vs-cro
