jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
8,PAULOVIC Sven,CRO,True,F,1,3,4,0,6,7.0,0:00,0.0,0:00,1,0:00,5,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
9,SELITAJ Leo,CRO,True,F,2,3,5,0,7,6.0,0:00,0.0,0:00,3,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
14,CANIC Dominic Rene,CRO,True,F,4,3,7,0,9,7.0,0:00,0.0,0:00,2,0:00,4,0:00,3,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
16,DJEREK Luka,CRO,True,D,0,0,0,0,1,6.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
17,DOBRIC Patrik,CRO,True,F,1,3,4,0,7,6.0,0:00,0.0,0:00,3,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
2,KRAMARIC Nikola,CRO,True,F,0,0,0,0,3,4.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
7,POLONIJO Mavro,CRO,True,F,1,1,2,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
11,MANDIC Roko,CRO,True,F,1,1,2,0,5,4.0,0:00,0.0,0:00,2,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
13,HANZEK Lovro,CRO,True,F,2,0,2,0,8,5.0,0:00,0.0,0:00,5,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
18,BELINA Ivan,CRO,True,D,0,2,2,0,1,6.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
10,JOUREAU Antonio,CRO,True,F,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
12,CEROVECKI Nikola,CRO,True,D,0,1,1,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
19,PLESTINA Filip,CRO,True,F,1,0,1,0,2,1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
21,MATISIN Dominik,CRO,True,D,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
22,GRGURIC Lovro,CRO,True,F,0,0,0,0,3,1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
5,BEBEK Ante,CRO,True,F,1,0,1,0,6,1.0,0:00,0.0,0:00,4,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
6,JOJA Marin,CRO,True,D,0,0,0,0,3,1.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
15,IDZAN Vito,CRO,True,F,1,1,2,0,5,1.0,0:00,0.0,0:00,0,0:00,2,0:00,3,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
23,CAVLOVIC Niko,CRO,True,D,0,0,0,0,4,1.0,0:00,0.0,0:00,1,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
24,RAKAR Maks,CRO,True,F,1,1,2,0,5,3.0,0:00,0.0,0:00,1,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
1,GORSIC Luka,CRO,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
25,TROHA Domagoj,CRO,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
11,ROZIN Guy,ISR,False,F,0,0,0,0,1,-3.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
17,VINEGRAD Amit Moshe,ISR,False,D,0,0,0,0,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
18,KAPLUN Alon,ISR,False,D,0,0,0,0,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
22,MARZIKO Daniel,ISR,False,F,0,0,0,0,1,-3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
24,HALPERT Yuval,ISR,False,F,0,0,0,0,0,-5.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
5,LANDO Tal,ISR,False,F,0,0,0,0,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
7,LUPO Ofir,ISR,False,F,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
8,LONKRY Daniel,ISR,False,F,0,0,0,2,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
9,NYKHAYCHUK Danil,ISR,False,D,0,0,0,0,2,-3.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
14,ROM Or,ISR,False,F,0,0,0,2,0,-5.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
2,KOSTRINSKY Noam,ISR,False,F,0,1,1,0,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/statistics/14560/1-cro-vs-isr,https://www.iihf.com//en/events/2020/wm20iib/gamecenter/playbyplay/14560/1-cro-vs-isr
