jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,STOYNOV Ivan,BUL,True,GK,22,1,21,95.45,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
20,GEORGIEV Nikola,BUL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
1,BOYD Ryan,RSA,False,GK,25,6,19,76.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
20,BYWATER Alistair,RSA,False,GK,11,4,7,63.64,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
20,ZHANG Yuhang,CHN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6570/2-chn-vs-nzl,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6570/2-chn-vs-nzl
25,WU Siming,CHN,True,GK,12,1,11,91.67,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6570/2-chn-vs-nzl,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6570/2-chn-vs-nzl
1,FROGER Evan,NZL,False,GK,23,5,18,78.26,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6570/2-chn-vs-nzl,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6570/2-chn-vs-nzl
20,KINNEY Drew,NZL,False,GK,54,7,47,87.04,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6570/2-chn-vs-nzl,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6570/2-chn-vs-nzl
1,HJALTESTED Arnar,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6571/3-isl-vs-aus,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6571/3-isl-vs-aus
25,MOJZYSZEK Maksymilian,ISL,True,GK,26,4,22,84.62,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6571/3-isl-vs-aus,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6571/3-isl-vs-aus
20,WOODLANDS Seb,AUS,False,GK,34,5,29,85.29,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6571/3-isl-vs-aus,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6571/3-isl-vs-aus
25,SPELDE Ethan,AUS,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6571/3-isl-vs-aus,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6571/3-isl-vs-aus
1,MUTANOGLU Muhammet,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6572/4-tur-vs-tpe,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6572/4-tur-vs-tpe
25,GUMUSLU Burak,TUR,True,GK,18,1,17,94.44,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6572/4-tur-vs-tpe,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6572/4-tur-vs-tpe
1,LEE Yi-Cheng,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6572/4-tur-vs-tpe,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6572/4-tur-vs-tpe
20,HUANG Sheng-Chun,TPE,False,GK,54,4,50,92.59,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6572/4-tur-vs-tpe,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6572/4-tur-vs-tpe
1,STOYNOV Ivan,BUL,True,GK,19,0,19,100.0,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/statistics/6573/5-bul-vs-nzl,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6573/5-bul-vs-nzl
