period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,BUL,22,RSA,1,5.207306835570726,2.2103403327894036,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
1,BUL,24,RSA,1,1.0168422906439367,0.759507264954395,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
2,RSA,12,BUL,1,1.6202691251164434,1.5010450812536997,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
3,BUL,11,RSA,20,5.173783021974875,0.9851917806174981,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
3,BUL,7,RSA,20,0.614557820531448,3.369065395922144,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
3,BUL,12,RSA,20,4.302166971773288,0.43709963837502563,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
3,BUL,7,RSA,20,0.8492237398797707,1.3378989937175745,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
2,BUL,17,RSA,1,0.178749498301466,3.757897302486607,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
2,BUL,24,RSA,1,0.9162711696092751,1.5977675751229872,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
2,BUL,18,RSA,1,1.3185547772044737,0.5337186687027762,https://www.iihf.com//pdf/701/ihm701b01_77a_3_0,BUL,RSA,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
