period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,TUR,24,TPE,20,5.009141269630024,1.2144862298622505,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,21,TPE,20,5.307463568006388,1.0225642326384317,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
2,TUR,14,TPE,20,0.27328066661652883,0.523568110088326,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,RSA,10,AUS,20,5.344756454618047,1.2910800458487315,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
2,AUS,22,RSA,1,2.9954709542187916,0.408414911754035,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
2,AUS,11,RSA,1,5.568497138674474,2.0973268819759046,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
2,AUS,19,RSA,1,5.568497138674474,1.5213864425173136,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
2,AUS,24,RSA,1,5.3820451823263245,1.4447926265308326,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
2,AUS,21,RSA,1,0.7207629092360927,3.747854452753011,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
3,AUS,21,RSA,1,0.6461831504167392,2.980167534089559,AUS,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14577/2-aus-vs-rsa,https://www.iihf.com//pdf/792/ihm792b02_77a_3_0
1,MEX,22,NZL,1,5.493915524354538,3.5559329906451036,MEX,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14578/3-mex-vs-nzl,https://www.iihf.com//pdf/792/ihm792a03_77a_3_0
2,MEX,4,NZL,1,0.4970220529241066,0.40721518188054695,MEX,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14578/3-mex-vs-nzl,https://www.iihf.com//pdf/792/ihm792a03_77a_3_0
2,MEX,4,NZL,1,2.585275858232737,0.2536775841014922,MEX,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14578/3-mex-vs-nzl,https://www.iihf.com//pdf/792/ihm792a03_77a_3_0
3,MEX,3,NZL,1,2.8090189978706412,0.40815270495742073,MEX,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14578/3-mex-vs-nzl,https://www.iihf.com//pdf/792/ihm792a03_77a_3_0
3,MEX,4,NZL,1,5.195593225978174,3.823424056884962,MEX,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14578/3-mex-vs-nzl,https://www.iihf.com//pdf/792/ihm792a03_77a_3_0
1,BUL,22,ISL,1,0.27328066661652883,3.5175480560844283,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
1,ISL,18,BUL,1,5.232886112589832,0.3698555294062249,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
2,ISL,6,BUL,1,5.456624385652204,3.7860644044106393,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
2,ISL,14,BUL,1,0.6461831504167392,0.6771051727514696,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
3,BUL,22,ISL,1,0.7953439879780008,3.4407797923108125,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
3,BUL,23,ISL,1,1.7648903418859996,1.8667582785107082,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
3,ISL,24,BUL,1,0.4224406108597285,1.406408227086069,BUL,ISL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14579/4-bul-vs-isl,https://www.iihf.com//pdf/792/ihm792a04_77a_4_0
1,TUR,10,RSA,1,5.158304498269896,3.6709106709604367,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
1,TUR,14,RSA,1,0.3105702688315145,0.408414911754035,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
2,TUR,24,RSA,1,5.1955924650400975,1.2144862298622505,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
3,RSA,13,TUR,1,5.1955924650400975,2.6344457322900716,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
3,TUR,9,RSA,1,2.8836006121905777,0.2547023310719334,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
3,TUR,14,RSA,1,4.971852541921746,2.1740956808654324,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
3,TUR,10,RSA,1,5.232886112589832,2.289073896296677,TUR,RSA,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14580/5-tur-vs-rsa,https://www.iihf.com//pdf/792/ihm792b05_77a_3_0
2,AUS,2,TPE,20,0.04954085706680862,0.2548778490908914,TPE,AUS,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14581/6-tpe-vs-aus,https://www.iihf.com//pdf/792/ihm792b06_77a_3_0
2,AUS,22,TPE,20,3.368370708011712,0.4851831755276512,TPE,AUS,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14581/6-tpe-vs-aus,https://www.iihf.com//pdf/792/ihm792b06_77a_3_0
2,AUS,8,TPE,20,5.344756454618047,2.6345334912995506,TPE,AUS,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14581/6-tpe-vs-aus,https://www.iihf.com//pdf/792/ihm792b06_77a_3_0
2,AUS,21,TPE,20,4.822693472185255,1.790251686417795,TPE,AUS,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14581/6-tpe-vs-aus,https://www.iihf.com//pdf/792/ihm792b06_77a_3_0
3,AUS,19,TPE,1,5.531204934398521,3.402220409963002,TPE,AUS,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14581/6-tpe-vs-aus,https://www.iihf.com//pdf/792/ihm792b06_77a_3_0
1,ISL,6,MEX,1,-0.02504126843736538,1.3294649804094063,ISL,MEX,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14582/7-isl-vs-mex,https://www.iihf.com//pdf/792/ihm792a07_77a_4_0
2,MEX,6,ISL,1,0.5343123272972649,3.517373073181382,ISL,MEX,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14582/7-isl-vs-mex,https://www.iihf.com//pdf/792/ihm792a07_77a_4_0
2,MEX,23,ISL,1,5.568495208771679,1.2142240230656363,ISL,MEX,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14582/7-isl-vs-mex,https://www.iihf.com//pdf/792/ihm792a07_77a_4_0
2,ISL,5,MEX,1,1.0936668219323928,1.6331282769160627,ISL,MEX,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14582/7-isl-vs-mex,https://www.iihf.com//pdf/792/ihm792a07_77a_4_0
3,ISL,2,MEX,-1,2.7717267102357854,1.1377174309727232,ISL,MEX,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14582/7-isl-vs-mex,https://www.iihf.com//pdf/792/ihm792a07_77a_4_0
2,BUL,8,NZL,1,0.8326332512643067,3.1335301489655674,BUL,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14583/8-bul-vs-nzl,https://www.iihf.com//pdf/792/ihm792a08_77a_3_0
3,NZL,18,BUL,1,5.046434156241682,3.709295605521112,BUL,NZL,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14583/8-bul-vs-nzl,https://www.iihf.com//pdf/792/ihm792a08_77a_3_0
