jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,STOYNOV Ivan,GK,0,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
20.0,GEORGIEV Nikola,GK,0,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
6.0,PERCHEMLIEV Martin,D,1,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
17.0,DIKOV Konstantin,D,1,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
24.0,VACHKOV Kaloyan,D,1,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
18.0,ABDI Tareq,F,1,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
22.0,VASILEV Miroslav,F,1,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
2.0,DIMOV Nikolay,D,2,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
19.0,STOILOV Aleks,D,2,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
11.0,TSITSELKOV Simeon,F,2,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
12.0,NAKOV Martin,F,2,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
21.0,DZHOROV Angel,F,2,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
5.0,ISA Trevor-Shon,D,3,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
13.0,LUKOV Zhoro,F,3,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
9.0,PENCHEV Ivailo,F,3,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
7.0,VESELINOV Kristian,F,3,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
16.0,GATSEV Aleksandar,F,3,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
3.0,IVANOV Ivelin,F,4,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
10.0,ADBI Moussa,F,4,BUL,True,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/lineup/6569/1-bul-vs-rsa,https://www.iihf.com//en/events/2019/wm20iii/gamecenter/playbyplay/6569/1-bul-vs-rsa
