period,team,player_number,shot_type,x,y,team1,team2,game_url,shot_chart_url
1,TUR,24,Shot,66.3537974079587,-27.079647216674076,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,13,Block,33.462748834652984,-39.05768137571897,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,11,Block,32.77253430468656,19.25371000469832,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,7,Miss,51.44426176598918,29.024866961298713,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,7,Miss,36.646266285944364,1.3294077116206253,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,8,Shot,69.0646924581506,1.09773674367581,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,10,Miss,36.30834377414351,-29.737377931095452,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,24,Goal,76.09896434407216,2.5526395567592957,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,9,Shot,67.08721154739251,-3.0003959396058093,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,21,Miss,60.23564417742071,-3.2512833806433363,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,21,Goal,79.95520697368477,3.9751552480795667,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,24,Shot,73.01127396533676,-2.027155223479838,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,13,Shot,32.83581934143393,-6.371796549563065,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TUR,21,Shot,82.14053334338254,-27.83978832164982,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TPE,18,Miss,-16.976256652675005,1.9570202347858512,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
1,TPE,18,Shot,-49.83039085226084,-11.03140306296799,TUR,TPE,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,https://www.iihf.com//pdf/792/ihm792b01_77a_3_0
