jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
10,GOKCEN Ismet,TUR,True,F,0,0,0,0,3,2.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
11,KABAY Haktan,TUR,True,D,0,2,2,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
14,AFSIN Firat,TUR,True,F,1,1,2,0,4,2.0,0:00,0.0,0:00,0,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
22,SALT Hakan,TUR,True,F,0,1,1,0,2,2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
24,TURAN Mehmet,TUR,True,F,1,2,3,0,6,2.0,0:00,0.0,0:00,3,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
4,KIZILKAYA Murat,TUR,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
7,SENTURK Furkan,TUR,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
9,DEMIREZEN Sarp,TUR,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,1,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
13,ELAKAS Alp,TUR,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
21,TURUT Timur,TUR,True,F,1,0,1,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/statistics/14576/1-tur-vs-tpe,https://www.iihf.com//en/events/2020/wm20iii/gamecenter/playbyplay/14576/1-tur-vs-tpe,,
