period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,FIN,20,GER,30,0.3851518831514506,0.7536995238538622,FIN,GER,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,https://www.iihf.com//pdf/750/ihm750a01_77a_3_0
2,FIN,32,GER,30,5.121012436156523,1.866758278510708,FIN,GER,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,https://www.iihf.com//pdf/750/ihm750a01_77a_3_0
2,GER,15,FIN,1,0.6461812949161565,0.8688521870722417,FIN,GER,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,https://www.iihf.com//pdf/750/ihm750a01_77a_3_0
3,FIN,20,GER,30,4.89727092760181,1.3678488447382589,FIN,GER,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,https://www.iihf.com//pdf/750/ihm750a01_77a_3_0
1,SWE,21,RUS,30,3.368370708011712,3.594316854973956,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
2,SWE,7,RUS,30,0.6461831504167392,0.4819473296110672,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
2,SWE,4,RUS,30,5.009141613037048,0.9445962389913278,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
2,RUS,9,SWE,1,5.307463568006388,0.5233931271852796,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
3,RUS,17,SWE,1,5.158302190666939,0.408414911754035,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
3,RUS,17,SWE,1,3.9650144504513625,3.364010993421285,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
3,SWE,10,RUS,29,1.354696233697099,0.830467787627478,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
3,SWE,27,RUS,29,0.5343109528879425,0.638720773306706,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
3,SWE,9,RUS,-1,2.5479854272025557,0.5233925920693681,RUS,SWE,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30016/2-rus-vs-swe,https://www.iihf.com//pdf/750/ihm750b02_77a_3_0
1,CZE,26,CAN,31,0.1987001178702124,3.709295605521112,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,CZE,11,CAN,31,5.419334111279046,0.5619525095330902,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,CZE,14,CAN,31,2.4361147607401046,0.638720773306706,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,CAN,23,CZE,1,4.971852541921746,3.402132650953523,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,CAN,25,CZE,1,0.4224406108597285,3.632526806631585,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,CAN,7,CZE,1,2.697148655842428,0.3667946663926873,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
2,CAN,25,CZE,1,4.710819418051783,0.945620985961769,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
2,CAN,25,CZE,1,5.307463288159571,0.4466243282957522,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
3,CAN,3,CZE,1,5.009141269630024,2.7879833300691264,CZE,CAN,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30017/3-cze-vs-can,https://www.iihf.com//pdf/750/ihm750a03_77a_3_0
1,USA,89,SVK,30,5.493915524354538,2.3274582957414403,USA,SVK,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30018/4-usa-vs-svk,https://www.iihf.com//pdf/750/ihm750b04_77a_3_0
