jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,MERILAINEN Leevi,GK,0,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
31.0,JATKOLA Juha,GK,0,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
15.0,NURMI Petteri,D,1,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
7.0,NIEMELA Topi,D,1,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
22.0,HIRVONEN Roni,F,1,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
32.0,MAATTA Joel,F,1,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
29.0,SIMONTAIVAL Kasper,F,1,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
4.0,OTTAVAINEN Ville,D,2,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
10.0,PUUTIO Kasper,D,2,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
19.0,MAENPAA Juuso,F,2,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
27.0,KAPANEN Oliver,F,2,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
37.0,KEMELL Joakim,F,2,FIN,True,https://www.iihf.com//en/events/2022/wm20np/gamecenter/lineup/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger
