jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
7,NIEMELA Topi,FIN,True,D,0,0,0,0,1,2.0,21:32,33.0,0:39,1,6:39,0,7:18,0,7:35,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
15,NURMI Petteri,FIN,True,D,0,0,0,0,1,2.0,18:13,27.0,0:40,0,5:00,1,6:42,0,6:31,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
22,HIRVONEN Roni,FIN,True,F,0,1,1,0,2,1.0,14:17,21.0,0:40,2,4:52,0,6:50,0,2:35,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
29,SIMONTAIVAL Kasper,FIN,True,F,0,0,0,2,0,1.0,16:51,24.0,0:42,0,5:01,0,5:52,0,5:58,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
32,MAATTA Joel,FIN,True,F,1,0,1,2,1,1.0,15:47,23.0,0:41,0,5:12,1,4:42,0,5:53,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
4,OTTAVAINEN Ville,FIN,True,D,0,0,0,2,0,0.0,5:38,8.0,0:42,0,3:55,0,1:43,0,0:00,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
10,PUUTIO Kasper,FIN,True,D,0,0,0,0,3,1.0,19:47,29.0,0:40,1,6:36,1,5:51,1,7:20,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
19,MAENPAA Juuso,FIN,True,F,0,0,0,0,1,0.0,15:39,24.0,0:39,0,5:31,0,4:59,1,5:09,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
27,KAPANEN Oliver,FIN,True,F,0,0,0,0,1,0.0,15:57,23.0,0:41,0,4:42,1,4:36,0,6:39,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
37,KEMELL Joakim,FIN,True,F,0,0,0,0,0,0.0,12:51,17.0,0:45,0,4:22,0,5:20,0,3:09,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
3,RAFKIN Ruben,FIN,True,D,0,0,0,0,0,0.0,13:43,19.0,0:43,0,5:58,0,3:37,0,4:08,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
6,VIRO Eemil,FIN,True,D,0,0,0,0,1,0.0,20:13,27.0,0:44,1,7:29,0,5:08,0,7:36,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
20,HELENIUS Samuel,FIN,True,F,2,0,2,0,6,2.0,14:13,22.0,0:38,2,4:52,2,4:08,2,5:13,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
24,KOIVUNEN Ville,FIN,True,F,0,1,1,0,0,2.0,15:26,20.0,0:46,0,4:17,0,5:03,0,6:06,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
33,LAMBERT Brad,FIN,True,F,0,2,2,0,2,2.0,12:19,16.0,0:46,1,3:56,1,4:46,0,3:37,https://www.iihf.com//en/events/2022/wm20np/gamecenter/statistics/30015/1-fin-vs-ger,https://www.iihf.com//en/events/2022/wm20np/gamecenter/playbyplay/30015/1-fin-vs-ger,,
