jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
29,PESLAROVA Klara,CZE,True,GK,9,1,8,88.89,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26641/1-cze-vs-den,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26641/1-cze-vs-den
30,ZECHOVSKA Katerina,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26641/1-cze-vs-den,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26641/1-cze-vs-den
30,JENSEN Lisa,DEN,False,GK,34,6,28,82.35,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26641/1-cze-vs-den,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26641/1-cze-vs-den
72,REPSTOCK-ROMME Cassandra,DEN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26641/1-cze-vs-den,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26641/1-cze-vs-den
35,DESBIENS Ann-Renee,CAN,True,GK,11,3,8,72.73,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26642/2-can-vs-fin,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26642/2-can-vs-fin
38,MASCHMEYER Emerance,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26642/2-can-vs-fin,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26642/2-can-vs-fin
1,KEISALA Anni,FIN,False,GK,43,4,39,90.7,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26642/2-can-vs-fin,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26642/2-can-vs-fin
18,RAISANEN Meeri,FIN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26642/2-can-vs-fin,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26642/2-can-vs-fin
20,BRAENDLI Andrea,SUI,True,GK,58,3,55,94.83,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26643/3-sui-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26643/3-sui-vs-usa
29,MAURER Saskia,SUI,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26643/3-sui-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26643/3-sui-vs-usa
29,HENSLEY Nicole,USA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26643/3-sui-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26643/3-sui-vs-usa
33,CAVALLINI Alex,USA,False,GK,10,0,10,100.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26643/3-sui-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26643/3-sui-vs-usa
30,HARSS Jennifer,GER,True,GK,19,0,19,100.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26644/4-ger-vs-hun,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26644/4-ger-vs-hun
95,ALBL Franziska,GER,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26644/4-ger-vs-hun,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26644/4-ger-vs-hun
1,NEMETH Aniko,HUN,False,GK,26,3,23,88.46,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26644/4-ger-vs-hun,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26644/4-ger-vs-hun
20,TOTH Zsofia,HUN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26644/4-ger-vs-hun,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26644/4-ger-vs-hun
30,MERKUSHEVA Valeria,ROC,True,GK,20,1,19,95.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26645/5-roc-vs-sui,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26645/5-roc-vs-sui
92,MOROZOVA Nadezhda,ROC,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26645/5-roc-vs-sui,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26645/5-roc-vs-sui
20,BRAENDLI Andrea,SUI,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26645/5-roc-vs-sui,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26645/5-roc-vs-sui
29,MAURER Saskia,SUI,False,GK,34,3,31,91.18,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26645/5-roc-vs-sui,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26645/5-roc-vs-sui
33,NORDSTROM Emma-Sofie,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26646/6-den-vs-jpn,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26646/6-den-vs-jpn
72,REPSTOCK-ROMME Cassandra,DEN,True,GK,28,1,27,96.43,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26646/6-den-vs-jpn,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26646/6-den-vs-jpn
1,FUJIMOTO Nana,JPN,False,GK,26,0,26,100.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26646/6-den-vs-jpn,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26646/6-den-vs-jpn
30,KONISHI Akane,JPN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26646/6-den-vs-jpn,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26646/6-den-vs-jpn
1,NEMETH Aniko,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26647/7-hun-vs-cze,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26647/7-hun-vs-cze
20,TOTH Zsofia,HUN,True,GK,36,4,32,88.89,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26647/7-hun-vs-cze,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26647/7-hun-vs-cze
29,PESLAROVA Klara,CZE,False,GK,13,2,11,84.62,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26647/7-hun-vs-cze,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26647/7-hun-vs-cze
30,ZECHOVSKA Katerina,CZE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26647/7-hun-vs-cze,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26647/7-hun-vs-cze
35,DESBIENS Ann-Renee,CAN,True,GK,7,1,6,85.71,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26648/8-can-vs-roc,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26648/8-can-vs-roc
38,MASCHMEYER Emerance,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26648/8-can-vs-roc,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26648/8-can-vs-roc
31,PRUGOVA Anna,ROC,False,GK,26,2,24,92.31,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26648/8-can-vs-roc,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26648/8-can-vs-roc
92,MOROZOVA Nadezhda,ROC,False,GK,36,3,33,91.67,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26648/8-can-vs-roc,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26648/8-can-vs-roc
1,KEISALA Anni,FIN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26649/9-fin-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26649/9-fin-vs-usa
18,RAISANEN Meeri,FIN,True,GK,39,3,36,92.31,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26649/9-fin-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26649/9-fin-vs-usa
29,HENSLEY Nicole,USA,False,GK,10,0,10,100.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26649/9-fin-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26649/9-fin-vs-usa
33,CAVALLINI Alex,USA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26649/9-fin-vs-usa,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26649/9-fin-vs-usa
30,HARSS Jennifer,GER,True,GK,22,1,21,95.45,https://www.iihf.com//en/events/2021/ww/gamecenter/statistics/26650/10-ger-vs-den,https://www.iihf.com//en/events/2021/ww/gamecenter/playbyplay/26650/10-ger-vs-den
