jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
30.0,KONISHI Akane,GK,0,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
29.0,MASUHARA Miyuu,GK,0,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
4.0,HITOSATO Ayaka,D,1,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
3.0,SHIGA Aoi,D,1,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
11.0,SHIGA Akane,F,1,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
14.0,TOKO Haruka,F,1,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
19.0,ITO Makoto,F,1,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
8.0,HOSOYAMADA Akane,D,2,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,KOIKE Shiori,D,2,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
22.0,WAJIMA Yumeka,F,2,JPN,True,https://www.iihf.com//en/events/2022/ww/gamecenter/lineup/37185/1-jpn-vs-usa,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
