period,team,player_number,shot_type,x,y,shot_chart_url,team1,team2,game_url
1,USA,11,Shot,81.3825248031977,9.241679182165754,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,3,Block,38.24995785047295,-6.636191469904617,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,16,Shot,71.00084111209094,-3.4300376851608263,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,27,Miss,56.41253567104215,-14.553909320524149,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,21,Shot,77.16392466918617,1.3098144449378566,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,5,Miss,21.419804463185528,-7.641459641185094,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,12,Goal,58.63156547880621,7.245655101815608,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,21,Miss,77.1758802806624,-2.1603688845449938,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,16,Miss,65.31110867908035,-3.925772451807447,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,2,Miss,71.61435754786334,19.652252006589478,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,16,Shot,74.461387160731,12.433691789294961,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,36,Goal,33.4189457514635,-0.18965848265388985,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,15,Shot,-28.13593183457688,-27.9527065097962,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,21,Miss,52.19395830962392,-34.15222275379814,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,12,Miss,48.00833289069345,-43.075568442306846,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,23,Shot,85.56812744953487,-14.336305313274657,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,25,Block,70.73788597739423,-11.857637189035344,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1,USA,2,Shot,27.60389573758897,-8.110384973000059,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
