jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BUDAJOVA Jana,SVK,True,GK,29,3,26,89.66,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6256/1-svk-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6256/1-svk-vs-den
25,LETTRICHOVA Andrea,SVK,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6256/1-svk-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6256/1-svk-vs-den
20,JENSEN Lisa,DEN,False,GK,36,1,35,97.22,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6256/1-svk-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6256/1-svk-vs-den
25,REPSTOCK-ROMME Cassandra,DEN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6256/1-svk-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6256/1-svk-vs-den
1,NYSTROM Ena,NOR,True,GK,25,2,23,92.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6257/2-nor-vs-hun,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6257/2-nor-vs-hun
20,HOLTERUD OLSSON Linnea,NOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6257/2-nor-vs-hun,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6257/2-nor-vs-hun
1,NEMETH Aniko,HUN,False,GK,24,1,23,95.83,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6257/2-nor-vs-hun,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6257/2-nor-vs-hun
25,NEHRING Stephanie,HUN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6257/2-nor-vs-hun,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6257/2-nor-vs-hun
1,MAZZOCCHI Giulia,ITA,True,GK,36,4,32,88.89,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6258/3-ita-vs-aut,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6258/3-ita-vs-aut
20,BIONDI Elisa,ITA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6258/3-ita-vs-aut,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6258/3-ita-vs-aut
1,ARNBERGER Nicole,AUT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6258/3-ita-vs-aut,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6258/3-ita-vs-aut
20,EKRT Jessica,AUT,False,GK,13,1,12,92.31,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6258/3-ita-vs-aut,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6258/3-ita-vs-aut
20,JENSEN Lisa,DEN,True,GK,5,0,5,100.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6259/4-den-vs-ita,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6259/4-den-vs-ita
25,REPSTOCK-ROMME Cassandra,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6259/4-den-vs-ita,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6259/4-den-vs-ita
1,MAZZOCCHI Giulia,ITA,False,GK,15,1,14,93.33,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6259/4-den-vs-ita,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6259/4-den-vs-ita
20,BIONDI Elisa,ITA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6259/4-den-vs-ita,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6259/4-den-vs-ita
1,NEMETH Aniko,HUN,True,GK,41,1,40,97.56,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6260/5-hun-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6260/5-hun-vs-svk
25,NEHRING Stephanie,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6260/5-hun-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6260/5-hun-vs-svk
1,BUDAJOVA Jana,SVK,False,GK,35,1,34,97.14,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6260/5-hun-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6260/5-hun-vs-svk
25,LETTRICHOVA Andrea,SVK,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6260/5-hun-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6260/5-hun-vs-svk
1,ARNBERGER Nicole,AUT,True,GK,11,4,7,63.64,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6261/6-aut-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6261/6-aut-vs-nor
20,EKRT Jessica,AUT,True,GK,15,1,14,93.33,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6261/6-aut-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6261/6-aut-vs-nor
1,NYSTROM Ena,NOR,False,GK,28,4,24,85.71,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6261/6-aut-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6261/6-aut-vs-nor
20,HOLTERUD OLSSON Linnea,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6261/6-aut-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6261/6-aut-vs-nor
1,MAZZOCCHI Giulia,ITA,True,GK,30,2,28,93.33,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6262/7-ita-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6262/7-ita-vs-nor
20,BIONDI Elisa,ITA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6262/7-ita-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6262/7-ita-vs-nor
1,NYSTROM Ena,NOR,False,GK,15,0,15,100.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6262/7-ita-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6262/7-ita-vs-nor
20,HOLTERUD OLSSON Linnea,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6262/7-ita-vs-nor,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6262/7-ita-vs-nor
1,NEMETH Aniko,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6263/8-hun-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6263/8-hun-vs-den
25,NEHRING Stephanie,HUN,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6263/8-hun-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6263/8-hun-vs-den
20,JENSEN Lisa,DEN,False,GK,32,5,27,84.38,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6263/8-hun-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6263/8-hun-vs-den
25,REPSTOCK-ROMME Cassandra,DEN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6263/8-hun-vs-den,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6263/8-hun-vs-den
1,ARNBERGER Nicole,AUT,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6264/9-aut-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6264/9-aut-vs-svk
20,EKRT Jessica,AUT,True,GK,24,2,22,91.67,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6264/9-aut-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6264/9-aut-vs-svk
1,BUDAJOVA Jana,SVK,False,GK,29,2,27,93.1,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6264/9-aut-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6264/9-aut-vs-svk
25,LETTRICHOVA Andrea,SVK,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwia/gamecenter/statistics/6264/9-aut-vs-svk,https://www.iihf.com//en/events/2019/wwia/gamecenter/playbyplay/6264/9-aut-vs-svk
