jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
25.0,GABRIELE Eline,GK,0,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
1.0,van LEEUWEN Claudia,GK,0,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
4.0,HAMERS Kayleigh,D,1,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
14.0,MILDERS Jet,D,1,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
10.0,ZWARTHOED Julie,F,1,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
8.0,WIELENGA Savine,F,1,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
5.0,DIJKEMA Maree,F,1,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
7.0,EVEN Emily,D,2,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
23.0,HUISMAN Hilde,D,2,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
11.0,TJIN-A-TON Nicky,F,2,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
9.0,van NES Bieke,F,2,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
6.0,SCHOLLAARDT Isabelle,F,2,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
2.0,NOE Michelle,D,3,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
18.0,van OOIJEN Michelle,D,3,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
19.0,BARBIER Zoe,F,3,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
16.0,de JONG Esther,F,3,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
17.0,COLLARD Kimberly,F,3,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
12.0,KARST Roos,D,4,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
13.0,WORTEL Britt,D,4,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
3.0,HAVERKORN Larissa,F,4,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
21.0,FLINK Mandy,F,4,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
,KRONENBURG Marco,He. Co.,5,NED,True,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
25.0,LUGGIN Selma,GK,0,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
1.0,ADAMITSCH Anja,GK,0,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
12.0,FAZOKAS Annika,D,1,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
23.0,MATZKA Antonia,D,1,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
10.0,MEIXNER Anna,F,1,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
7.0,SCHAFZAHL Theresa,F,1,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
11.0,HOFBAUER Emma,F,1,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
13.0,GRASCHER Tamara,F,2,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
17.0,WITTICH Charlotte,D,2,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
21.0,DAUBOCK Lena,F,2,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
24.0,TRUMMER Anja,F,2,AUT,False,https://www.iihf.com//en/events/2022/wwia/gamecenter/lineup/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
