jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,DUKARIC Pia,SLO,True,GK,55,1,54,98.18,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29916/1-slo-vs-ita,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita
25,DOVZAN Nusa,SLO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29916/1-slo-vs-ita,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita
20,BIONDI Elisa,ITA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29916/1-slo-vs-ita,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita
25,FEDEL Martina,ITA,False,GK,17,3,14,82.35,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29916/1-slo-vs-ita,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita
1,CHEN Tiya,CHN,True,GK,13,0,13,100.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29917/2-chn-vs-kor,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor
24,WANG Yuqing,CHN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29917/2-chn-vs-kor,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor
1,CHEON Hyoseo,KOR,False,GK,40,5,35,87.5,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29917/2-chn-vs-kor,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor
25,JANG Inhye,KOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29917/2-chn-vs-kor,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor
20,DMITRIEVA Darya,KAZ,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29918/3-kaz-vs-pol,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol
25,SHYOKOLOVA Arina,KAZ,True,GK,32,3,29,90.62,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29918/3-kaz-vs-pol,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol
1,SASS Martyna,POL,False,GK,22,1,21,95.45,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29918/3-kaz-vs-pol,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol
20,KOSINSKA Agata,POL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29918/3-kaz-vs-pol,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol
1,CHEON Hyoseo,KOR,True,GK,17,5,12,70.59,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29919/4-kor-vs-kaz,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz
25,JANG Inhye,KOR,True,GK,6,0,6,100.0,https://www.iihf.com//en/events/2022/wwib/gamecenter/statistics/29919/4-kor-vs-kaz,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz
