period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,SLO,8,ITA,25,2.771726111258983,0.5233931271852796,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,15,ITA,25,1.5038594623369708,3.6325268066315846,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
2,ITA,6,SLO,20,2.286956015437849,0.17793406729831762,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
3,SLO,8,ITA,25,0.7580557958477508,0.6769307249643344,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,CHN,11,KOR,1,1.9140511794472612,1.1377179660886343,CHN,KOR,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor,https://www.iihf.com//pdf/80/ihw080902_77a_3_0
2,CHN,8,KOR,1,1.9886337170614854,3.555758007742057,CHN,KOR,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor,https://www.iihf.com//pdf/80/ihw080902_77a_3_0
3,CHN,10,KOR,1,1.1682464717782113,3.2486828121839473,CHN,KOR,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor,https://www.iihf.com//pdf/80/ihw080902_77a_3_0
3,CHN,3,KOR,1,0.6088928760435811,0.17784630828883863,CHN,KOR,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor,https://www.iihf.com//pdf/80/ihw080902_77a_3_0
3,CHN,17,KOR,1,4.226046371063469,3.21047339564223,CHN,KOR,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29917/2-chn-vs-kor,https://www.iihf.com//pdf/80/ihw080902_77a_3_0
1,KAZ,23,POL,1,4.897270789917574,2.288986672403109,KAZ,POL,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol,https://www.iihf.com//pdf/80/ihw080903_77a_3_0
1,POL,7,KAZ,25,0.8326332512643067,3.7062336722757516,KAZ,POL,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol,https://www.iihf.com//pdf/80/ihw080903_77a_3_0
2,POL,5,KAZ,25,0.08682942471642355,2.8998129234773544,KAZ,POL,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol,https://www.iihf.com//pdf/80/ihw080903_77a_3_0
2,POL,14,KAZ,25,5.232882739413255,3.402395392866049,KAZ,POL,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29918/3-kaz-vs-pol,https://www.iihf.com//pdf/80/ihw080903_77a_3_0
1,KAZ,12,KOR,1,5.009141269630024,0.3700305123092713,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
1,KAZ,5,KOR,1,5.009141269630024,1.70989707580559,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
2,KAZ,9,KOR,1,1.354697583712631,0.5233931271852796,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
2,KAZ,12,KOR,1,0.08682942471642355,1.2144862298622505,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
2,KAZ,5,KOR,1,4.710819418051783,1.5947444125872106,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
3,KOR,10,KAZ,20,4.785399966798099,2.097151899072858,KOR,KAZ,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29919/4-kor-vs-kaz,https://www.iihf.com//pdf/80/ihw080904_77a_3_0
1,CHN,19,ITA,20,0.27328066661652883,2.250689496851913,ITA,CHN,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29920/5-ita-vs-chn,https://www.iihf.com//pdf/80/ihw080905_77a_3_0
