jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
25.0,WANG Yuqing,GK,0,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
1.0,HE Siye,GK,0,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
2.0,YU Baiwei,D,1,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
6.0,LIU Zhixin,D,1,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
15.0,KONG Minghui,F,1,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
23.0,FANG Xin,F,1,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
3.0,ZHU Rui,F,1,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
8.0,DENG Di,D,2,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
12.0,WANG Chang,D,2,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
5.0,TIAN Naiyuan,F,2,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
7.0,ZHANG Mengying,F,2,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
11.0,LU Shuang,F,2,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
13.0,ZHAO Qinan,D,3,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
19.0,HOU Yue,D,3,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
17.0,LYU Yue,F,3,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
18.0,YANG Liying,F,3,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
10.0,HE Xin,F,3,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
9.0,XING Lixue,F,4,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
21.0,LIU Siyang,D,4,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
16.0,MA Rui,F,4,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
14.0,GUAN Yingying,F,4,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
4.0,PI Yunlin,F,4,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
,KOELLIKER Jakob,He. Co.,5,CHN,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
1.0,APSITE Kristiana,GK,0,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
20.0,TETINA Evija,GK,0,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
12.0,PLATA Eliza,D,1,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
8.0,OZMENA Sarma,D,1,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
18.0,KRUMINA Ivita,F,1,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
24.0,TREZINA Mara,F,1,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
19.0,LAGZDINA Anna Katrina,F,1,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
13.0,APSITE Aija,D,2,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
7.0,KUBLINA Anna,D,2,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
3.0,MIHEJENKO Julija,F,2,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
22.0,PETERSONE Ieva,F,2,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
11.0,ABOLA Ilona,F,2,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
15.0,RUBINA Sabine Kate,D,3,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
17.0,ZAGARE Beate,D,3,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
2.0,KURME Baiba,F,3,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
14.0,VOITKEVICA Kitija,F,3,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
9.0,KRONBERGA Zane,F,4,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
16.0,SILAJANE Karina,F,4,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
6.0,ANISIMOVA Karina,F,4,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
,GOLUBOVICS Miks,He. Co.,5,LAT,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat
20.0,ZIJLSTRA Nadia,GK,0,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
1.0,DAAMS Lisa,GK,0,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
4.0,HAMERS Kayleigh,D,1,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
7.0,EVEN Emily,D,1,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
23.0,HUISMAN Hilde,F,1,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
8.0,WIELENGA Savine,F,1,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
14.0,de JONG Esther,F,1,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
16.0,NOE Michelle,D,2,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
13.0,WORTEL Britt,D,2,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
19.0,BARBIER Zoe,F,2,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
9.0,van NES Bieke,F,2,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
6.0,SCHOLLAARDT Isabelle,F,2,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
18.0,van OOIJEN Michelle,D,3,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
22.0,BROUWERS Romy,D,3,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
11.0,TJIN-A-TON Nicky,F,3,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
5.0,DIJKEMA Maree,F,3,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
2.0,BARTON Glynis,F,3,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
24.0,NAUTA Amber,D,4,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
3.0,HAVERKORN Larissa,F,4,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
12.0,van der ZANDE Anne,F,4,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
17.0,BAKKER Femke,F,4,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
,FRANKE Joep,He. Co.,5,NED,True,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
20.0,HAN Dohee,GK,0,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
1.0,HUH Eun-Bee,GK,0,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
15.0,PARK Chaelin,D,1,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
7.0,PARK Ye Eun,D,1,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
17.0,PARK Jongah,F,1,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
4.0,SONG Yunha,F,1,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
6.0,CHOI Yujung,F,1,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
8.0,KIM Selin,D,2,KOR,False,https://www.iihf.com//en/events/2019/wwib/gamecenter/lineup/6305/2-ned-vs-kor,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6305/2-ned-vs-kor
