period,team,player_number,shot_type,x,y,team1,team2,game_url,shot_chart_url
1,SLO,9,Shot,30.075712717146644,38.47664282388183,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,8,Shot,75.06297075762049,8.56691037030599,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,8,Goal,82.27061039624371,1.5604278542735273,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,17,Shot,81.6791150581808,6.8951685551407,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,15,Goal,73.26480124641222,-11.46104480852302,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,17,Shot,77.13097272669845,0.38442651474863965,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,6,Miss,38.95331216676658,41.38499265663269,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,17,Shot,73.2749122778321,7.126514110439558,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,17,Block,79.54286362701868,-9.993091235638602,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,9,Block,67.84597158315589,2.0561683299139304,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,8,Shot,74.56860052993096,12.929432264935372,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,9,Miss,75.76566466870875,5.691604193604043,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,9,Miss,77.44789890748774,10.979514018422648,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,17,Miss,63.399577198484366,-5.399218076716579,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,SLO,7,Block,28.395607715840114,-15.063077349555542,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,19,Block,-43.01031797880634,-7.065467839857156,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,5,Block,-47.99962237376079,5.547434973458401,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,19,Shot,-6.919480936305007,46.01191518059741,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,14,Shot,-27.677747257622016,11.191597428678477,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,11,Shot,-31.217245887191623,-23.080942369216174,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
1,ITA,9,Shot,-30.921019993701123,27.37119982046839,SLO,ITA,https://www.iihf.com//en/events/2022/wwib/gamecenter/playbyplay/29916/1-slo-vs-ita,https://www.iihf.com//pdf/80/ihw080901_77a_3_0
