jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
2,YU Baiwei,CHN,True,D,0,1,1,0,6,2.0,0:00,0.0,0:00,2,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
3,ZHU Rui,CHN,True,F,0,1,1,2,2,1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
6,LIU Zhixin,CHN,True,D,0,0,0,0,6,2.0,0:00,0.0,0:00,2,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
15,KONG Minghui,CHN,True,F,0,0,0,0,4,1.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
23,FANG Xin,CHN,True,F,1,0,1,0,6,1.0,0:00,0.0,0:00,3,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
5,TIAN Naiyuan,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
7,ZHANG Mengying,CHN,True,F,0,1,1,0,7,0.0,0:00,0.0,0:00,1,0:00,5,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
8,DENG Di,CHN,True,D,0,1,1,0,5,0.0,0:00,0.0,0:00,2,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
11,LU Shuang,CHN,True,F,2,0,2,0,4,1.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
12,WANG Chang,CHN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
10,HE Xin,CHN,True,F,0,0,0,0,6,0.0,0:00,0.0,0:00,3,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
13,ZHAO Qinan,CHN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
17,LYU Yue,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
18,YANG Liying,CHN,True,F,0,0,0,2,5,0.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
19,HOU Yue,CHN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
4,PI Yunlin,CHN,True,F,0,0,0,27,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
9,XING Lixue,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/wwib/gamecenter/statistics/6304/1-chn-vs-lat,https://www.iihf.com//en/events/2019/wwib/gamecenter/playbyplay/6304/1-chn-vs-lat,,,,
