jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,HSU Tzu-Ting,TPE,True,GK,59,8,51,86.44,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30925/1-tpe-vs-gbr,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr
25,WANG Yun-Tzu,TPE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30925/1-tpe-vs-gbr,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr
1,JACKSON Nicole,GBR,False,GK,11,0,11,100.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30925/1-tpe-vs-gbr,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr
25,HOWARD Ella,GBR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30925/1-tpe-vs-gbr,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr
1,APSITE Kristiana,LAT,True,GK,33,0,33,100.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30926/2-lat-vs-esp,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30926/2-lat-vs-esp
25,GAILITE Guna Estere,LAT,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30926/2-lat-vs-esp,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30926/2-lat-vs-esp
20,GONZALO Alba,ESP,False,GK,26,0,26,100.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30926/2-lat-vs-esp,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30926/2-lat-vs-esp
25,LOPEZ de OCHOA Laura,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30926/2-lat-vs-esp,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30926/2-lat-vs-esp
1,RENTERIA Monica,MEX,True,GK,43,3,40,93.02,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30927/3-mex-vs-tpe,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe
20,de ANTUNANO Miranda,MEX,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiia/gamecenter/statistics/30927/3-mex-vs-tpe,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe
