period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1.0,GBR,13.0,TPE,20.0,0.9817950999124204,2.3657549361767254,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
1.0,GBR,4.0,TPE,20.0,0.9445048255392623,1.0597494373256189,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
2.0,GBR,4.0,TPE,20.0,0.3478631554431727,0.9062118395465641,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
2.0,GBR,10.0,TPE,20.0,0.38515188315145066,2.711302290189078,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
3.0,GBR,8.0,TPE,20.0,0.4970220529241066,0.6769307249643344,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
3.0,GBR,12.0,TPE,20.0,0.3851512298046321,2.2508644797549597,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
3.0,GBR,18.0,TPE,20.0,5.568495208771679,1.7133084397411324,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
3.0,GBR,17.0,TPE,20.0,5.34475356253273,2.0973268819759046,TPE,GBR,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30925/1-tpe-vs-gbr,https://www.iihf.com//pdf/88/ihw088901_77a_4_0
1.0,MEX,12.0,TPE,25.0,0.3851512298046321,0.7922583710857607,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
1.0,MEX,23.0,TPE,25.0,0.4597317785509485,0.6384585665100917,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
1.0,TPE,8.0,MEX,1.0,5.5312084109661965,3.517373073181382,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
2.0,TPE,18.0,MEX,1.0,1.7276000675128416,2.864839352852221,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
3.0,TPE,10.0,MEX,1.0,5.5312084109661965,0.5617775266300433,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
3.0,TPE,18.0,MEX,-1.0,2.6225670415224913,0.3698549942903133,MEX,TPE,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30927/3-mex-vs-tpe,https://www.iihf.com//pdf/88/ihw088903_77a_4_1
1.0,LAT,24.0,MEX,20.0,5.270173013786414,3.1720889961974663,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
1.0,LAT,2.0,MEX,20.0,5.419334111279046,0.6003363738619423,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
2.0,MEX,7.0,LAT,1.0,0.3851512298046321,0.4435629301663031,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
2.0,LAT,21.0,MEX,20.0,0.49702222517966466,2.8266299363105043,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
2.0,LAT,7.0,MEX,20.0,5.232886112589832,0.5971005279453583,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
2.0,LAT,22.0,MEX,20.0,0.3478631554431727,0.4467987760828871,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
3.0,LAT,19.0,MEX,20.0,0.5343123272972649,3.824448268739492,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
3.0,LAT,3.0,MEX,20.0,3.4056608547167317,2.5960613328453075,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
3.0,LAT,21.0,MEX,20.0,0.571602601670423,1.9437892841968498,MEX,LAT,https://www.iihf.com//en/events/2022/wwiia/gamecenter/playbyplay/30928/4-mex-vs-lat,https://www.iihf.com//pdf/88/ihw088904_77a_3_0
