jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
6,VILLAR Leyre,ESP,True,D,0,0,0,2,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
7,MUNOZ Vega,ESP,True,F,0,0,0,2,9,0.0,0:00,0.0,0:00,5,0:00,0,0:00,3.0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
12,DANIELSSON Sara,ESP,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0.0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
17,DANIELSSON Laura,ESP,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
18,ABRISQUETA Vanesa,ESP,True,D,0,1,1,0,6,0.0,0:00,0.0,0:00,1,0:00,3,0:00,1.0,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
5,RIVERA Carmina,ESP,True,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
8,MARTIN Marta,ESP,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
13,SENAC GOMEZ Irene,ESP,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
14,ABRISQUETA Leticia,ESP,True,F,2,0,2,0,4,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,3.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
24,ALVAREZ Elena,ESP,True,D,0,1,1,0,4,0.0,0:00,0.0,0:00,2,0:00,1,0:00,1.0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wwiia/gamecenter/statistics/6336/1-esp-vs-slo,https://www.iihf.com//en/events/2019/wwiia/gamecenter/playbyplay/6336/1-esp-vs-slo
