jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,HARRISON Grace,NZL,True,GK,18,2,16,88.89,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6368/1-nzl-vs-tpe,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
20,HYDE Lochlyn Marie,NZL,True,GK,14,1,13,92.86,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6368/1-nzl-vs-tpe,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
20,HSU Tzu-Ting,TPE,False,GK,23,0,23,100.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6368/1-nzl-vs-tpe,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
25,WANG Yun-Tzu,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6368/1-nzl-vs-tpe,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
1,BELOBRK Petra,CRO,True,GK,47,6,41,87.23,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6369/2-cro-vs-tur,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
20,BAZDAR Julija,CRO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6369/2-cro-vs-tur,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
20,DOGRAMACI Sera,TUR,False,GK,25,3,22,88.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6369/2-cro-vs-tur,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
25,DADASOGLU Kubra,TUR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6369/2-cro-vs-tur,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1,MATTHIASDOTTIR Thelma,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6370/3-isl-vs-rou,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
20,HALLDORSDOTTIR Karitas,ISL,True,GK,16,5,11,68.75,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6370/3-isl-vs-rou,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
1,KURKO Andrea,ROU,False,GK,51,9,42,82.35,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6370/3-isl-vs-rou,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
25,NICIU Nadina,ROU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6370/3-isl-vs-rou,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
20,HSU Tzu-Ting,TPE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiib/gamecenter/statistics/6371/4-tpe-vs-tur,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6371/4-tpe-vs-tur
