period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,TPE,11.0,NZL,20.0,0.1987001178702124,0.4467987760828871,https://www.iihf.com//pdf/713/ihw713901_77a_1_0,NZL,TPE,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
2.0,TPE,18.0,NZL,1.0,0.6088925672078787,3.5941418720709093,https://www.iihf.com//pdf/713/ihw713901_77a_2_0,NZL,TPE,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
3.0,TPE,15.0,NZL,1.0,4.934561064290732,0.6385457904036596,https://www.iihf.com//pdf/713/ihw713901_77a_3_0,NZL,TPE,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6368/1-nzl-vs-tpe
1.0,CRO,11.0,TUR,20.0,5.158302190666939,0.638720773306706,https://www.iihf.com//pdf/713/ihw713902_77a_1_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1.0,CRO,17.0,TUR,20.0,0.2732806666165288,0.8306427705305248,https://www.iihf.com//pdf/713/ihw713902_77a_1_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1.0,TUR,9.0,CRO,1.0,2.5479854272025557,0.4082399288509886,https://www.iihf.com//pdf/713/ihw713902_77a_1_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1.0,TUR,6.0,CRO,1.0,4.971852541921746,1.598155241406841,https://www.iihf.com//pdf/713/ihw713902_77a_1_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1.0,TUR,6.0,CRO,1.0,5.158304498269896,3.287067746744622,https://www.iihf.com//pdf/713/ihw713902_77a_1_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
3.0,CRO,11.0,TUR,20.0,4.748109692424942,0.7154895721962333,https://www.iihf.com//pdf/713/ihw713902_77a_3_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
3.0,TUR,9.0,CRO,1.0,0.6834741815278147,0.7920833881827143,https://www.iihf.com//pdf/713/ihw713902_77a_3_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
3.0,TUR,17.0,CRO,1.0,0.6088925672078787,2.6730923385314496,https://www.iihf.com//pdf/713/ihw713902_77a_3_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
3.0,TUR,6.0,CRO,1.0,5.08372288394996,3.517373073181382,https://www.iihf.com//pdf/713/ihw713902_77a_3_0,CRO,TUR,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6369/2-cro-vs-tur
1.0,ROU,15.0,ISL,20.0,4.859980515544416,0.830467787627478,https://www.iihf.com//pdf/713/ihw713903_77a_1_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
1.0,ISL,11.0,ROU,1.0,0.3851518831514506,3.594316854973956,https://www.iihf.com//pdf/713/ihw713903_77a_1_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
1.0,ISL,11.0,ROU,1.0,3.2192116382752194,0.4851831755276512,https://www.iihf.com//pdf/713/ihw713903_77a_1_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
1.0,ISL,5.0,ROU,1.0,1.280118778280543,0.596750562139265,https://www.iihf.com//pdf/713/ihw713903_77a_1_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
2.0,ISL,19.0,ROU,1.0,2.771726710235785,0.4082399288509886,https://www.iihf.com//pdf/713/ihw713903_77a_2_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
2.0,ISL,11.0,ROU,1.0,4.151465822317153,3.555932990645104,https://www.iihf.com//pdf/713/ihw713903_77a_2_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
2.0,ISL,19.0,ROU,1.0,2.398824486366946,0.4850081926246044,https://www.iihf.com//pdf/713/ihw713903_77a_2_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
2.0,ROU,13.0,ISL,20.0,5.08372288394996,3.6324390476221056,https://www.iihf.com//pdf/713/ihw713903_77a_2_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
2.0,ROU,13.0,ISL,20.0,4.934563814213468,3.171826789400852,https://www.iihf.com//pdf/713/ihw713903_77a_2_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
3.0,ROU,11.0,ISL,20.0,2.13779282568621,0.331645577748596,https://www.iihf.com//pdf/713/ihw713903_77a_3_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
3.0,ROU,13.0,ISL,20.0,4.897270789917574,3.2485955882903794,https://www.iihf.com//pdf/713/ihw713903_77a_3_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
3.0,ISL,14.0,ROU,1.0,5.009141269630024,0.9841803683095796,https://www.iihf.com//pdf/713/ihw713903_77a_3_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
3.0,ISL,11.0,ROU,1.0,3.368370708011712,3.63270125441872,https://www.iihf.com//pdf/713/ihw713903_77a_3_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
3.0,ISL,11.0,ROU,1.0,0.8699261378759648,0.753873971640997,https://www.iihf.com//pdf/713/ihw713903_77a_3_0,ISL,ROU,https://www.iihf.com//en/events/2019/wwiib/gamecenter/playbyplay/6370/3-isl-vs-rou
