jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,KOZACHUK Nataliya,GK,0,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
25.0,TKACHENKO Viktoriia,GK,0,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
2.0,CHYZHOVA Tetiana,D,1,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
23.0,MAIFELD Anhelina,D,1,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
14.0,TSYMYRENKO Daria,F,1,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
15.0,DOBROVOLSKA Yuliia,F,1,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
24.0,SKASHCHUK Vladyslava,F,1,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
18.0,TKACHENKO Tetyana,D,2,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
13.0,KOBCHUK Maryna,D,2,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
11.0,TKACHUK Olena,F,2,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
10.0,KOVTUN Diana,F,2,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
9.0,TSENOVA Viktoriia,F,2,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
12.0,VANSOVYCH Olena,D,3,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
21.0,LALOMOVA Viktoriia,D,3,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
17.0,SLASHCHOVA Tetiana,F,3,UKR,True,https://www.iihf.com//en/events/2020/wwiib/gamecenter/lineup/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur
