jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
2,CHYZHOVA Tetiana,UKR,True,D,1,0,1,0,8,1.0,0:00,0.0,0:00,2,0:00,4,0:00,0,0:00,2.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
14,TSYMYRENKO Daria,UKR,True,F,0,0,0,0,5,0.0,0:00,0.0,0:00,0,0:00,5,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
15,DOBROVOLSKA Yuliia,UKR,True,F,1,0,1,2,3,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
23,MAIFELD Anhelina,UKR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
24,SKASHCHUK Vladyslava,UKR,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
9,TSENOVA Viktoriia,UKR,True,F,0,0,0,2,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
10,KOVTUN Diana,UKR,True,F,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
11,TKACHUK Olena,UKR,True,F,0,0,0,0,4,-2.0,0:00,0.0,0:00,0,0:00,4,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
13,KOBCHUK Maryna,UKR,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
18,TKACHENKO Tetyana,UKR,True,D,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
5,LES Hanna,UKR,True,F,0,0,0,2,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
12,VANSOVYCH Olena,UKR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
17,SLASHCHOVA Tetiana,UKR,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
19,ALIPOVA Elen,UKR,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
21,LALOMOVA Viktoriia,UKR,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
3,ZABARNA Anna,UKR,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
6,MAKARENKO Nadiia,UKR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
7,ALIPOVA Elizabet,UKR,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
8,HROMOVA Mariia,UKR,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
16,KOZUB Inna,UKR,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
1,KOZACHUK Nataliya,UKR,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
25,TKACHENKO Viktoriia,UKR,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
2,DURSUN Hatice,TUR,False,D,0,0,0,4,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
7,KOCAK Ayse,TUR,False,F,0,0,0,0,3,1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
9,LOKBAS Dilara,TUR,False,F,1,0,1,0,4,1.0,0:00,0.0,0:00,3,0:00,0,0:00,0,0:00,1.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
17,OGUZ Ebrar,TUR,False,F,1,0,1,0,4,2.0,0:00,0.0,0:00,1,0:00,0,0:00,2,0:00,1.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
18,LOKBAS Alara,TUR,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
4,GUVEN Sema,TUR,False,D,0,1,1,2,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
6,BAKTIROGLU Cagla,TUR,False,F,0,0,0,0,7,-1.0,0:00,0.0,0:00,4,0:00,0,0:00,3,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
10,YILMAZ Selin,TUR,False,F,0,0,0,0,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
13,DEMIRKOL Basak,TUR,False,F,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
19,UYGUN Ilkim,TUR,False,D,0,2,2,2,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
3,TUNA Betul,TUR,False,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
5,KAMALAK Ece,TUR,False,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
12,PERVAN Zeynep,TUR,False,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
14,FIGENLI Melisa,TUR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
24,TAYGAR Betul,TUR,False,F,1,0,1,2,2,1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
11,TUZGEN DAGLI Hatice,TUR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
15,DUMLU Ozge,TUR,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
16,CELIK Cagla,TUR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
21,BAGCI Didem,TUR,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
22,ERYILMAZ Nil,TUR,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
1,KARATAS Merve,TUR,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
20,DOGRAMACI Sera,TUR,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14652/1-ukr-vs-tur,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14652/1-ukr-vs-tur,,
10,RICHMOND Ashley,NZL,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
13,SMITH Millicent,NZL,True,D,0,0,0,0,0,4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
21,SHIELDS Hannah,NZL,True,F,2,3,5,0,8,5.0,0:00,0.0,0:00,3,0:00,2,0:00,3,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
23,HORNER-PASCOE Jasmine,NZL,True,F,2,1,3,2,3,4.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
24,HEALE Caitlin,NZL,True,F,1,3,4,2,2,4.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
3,HYDE Alexandra,NZL,True,F,0,1,1,0,2,2.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
11,NEVILLE-LAMB Rachael,NZL,True,D,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
12,KIVELL Jana,NZL,True,F,0,2,2,0,4,3.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
15,GREGORY Hope,NZL,True,F,3,1,4,0,8,5.0,0:00,0.0,0:00,5,0:00,2,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
17,WOODYEAR-SMITH Krystie,NZL,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
