jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
9,van DOESBURGH Donne,RSA,True,D,1,0,1,0,2,-6.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
10,BURGER Angelique,RSA,True,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
14,KRUGER Claudia,RSA,True,D,0,0,0,0,1,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
18,SCHUURMAN Chloe,RSA,True,F,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
22,KEULER Tarryn,RSA,True,F,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
7,WILSON Kelley,RSA,True,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
11,VERWEY Dominique,RSA,True,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
15,JAMIESON Kelly,RSA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
16,MEYER Joey,RSA,True,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
24,MOLLER Elaine,RSA,True,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
3,LECHTANSKI Veronica evgenieva,RSA,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
6,DOLIVEIRA Chandre,RSA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
17,BODENSTEIN Liza,RSA,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
21,RHODE Dalene,RSA,True,F,0,1,1,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
2,SCHOLTS Keegan,RSA,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
5,STEYN Zoe-May,RSA,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
12,MARAIS Eileen,RSA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
1,RORKE Shaylene,RSA,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
20,van DYK Monique,RSA,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
10,GEIRSDOTTIR Herborg,ISL,False,F,0,0,0,0,0,4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
11,BJORGVINSDOTTIR Silvia,ISL,False,F,3,1,4,0,7,4.0,0:00,0.0,0:00,1,0:00,2,0:00,4,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
12,SNORRADOTTIR Teresa,ISL,False,D,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
15,ALEXDOTTIR Elin,ISL,False,D,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
23,BJORGVINSDOTTIR Sunna,ISL,False,F,1,2,3,0,4,4.0,0:00,0.0,0:00,2,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
6,HJALTESTED Brynhildur,ISL,False,F,1,1,2,0,3,3.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
7,BERGSDOTTIR Hilma,ISL,False,F,2,0,2,0,5,3.0,0:00,0.0,0:00,2,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
13,BLONDAL Saga,ISL,False,D,0,0,0,0,5,3.0,0:00,0.0,0:00,1,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
18,LEIFSDOTTIR Berglind,ISL,False,F,0,2,2,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
24,BJORNSDOTTIR Katrin,ISL,False,D,1,0,1,0,5,3.0,0:00,0.0,0:00,1,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
3,AGUSTSDOTTIR Anna,ISL,False,D,0,0,0,0,1,2.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiib/gamecenter/statistics/32615/1-rsa-vs-isl,https://www.iihf.com//en/events/2022/wwiib/gamecenter/playbyplay/32615/1-rsa-vs-isl,,,,
