jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,CHAU Nga Sze,HKG,True,GK,50,8,42,84.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
25,WONG Ying Chi Virginia,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
1,SMITS Maud,BEL,False,GK,14,1,13,92.86,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
25,KUYPERS Liesl,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
20,ZAICHENKO Iryna,UKR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6488/2-ukr-vs-rsa,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6488/2-ukr-vs-rsa
25,TKACHENKO Viktoriia,UKR,True,GK,15,1,14,93.33,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6488/2-ukr-vs-rsa,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6488/2-ukr-vs-rsa
1,SWANEPOEL Shaylene,RSA,False,GK,34,3,31,91.18,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6488/2-ukr-vs-rsa,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6488/2-ukr-vs-rsa
20,van der MERWE Rachel,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6488/2-ukr-vs-rsa,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6488/2-ukr-vs-rsa
1,STANKOVA Katrin,BUL,True,GK,40,5,35,87.5,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6489/3-bul-vs-ukr,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6489/3-bul-vs-ukr
25,GEORGIEVA Paulina,BUL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/statistics/6489/3-bul-vs-ukr,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6489/3-bul-vs-ukr
