jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,CHAU Nga Sze,GK,0,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
25.0,WONG Ying Chi Virginia,GK,0,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
9.0,KWOK Hoi Kei,D,1,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
13.0,LEUNG Tsui Shan Aman,D,1,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
10.0,IP Estelle Claudia,F,1,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
12.0,LI Adrienne May,D,1,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
7.0,LAU Yeuk Ting,F,1,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
5.0,CHAN Pui Wing Chloe,D,2,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
2.0,CHOW Yick Shuen,D,2,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
24.0,CHAK Long Ching Zoe,F,2,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
17.0,KWAN Yim Kuen,D,2,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
19.0,WONG Ka Wing,F,2,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
21.0,SHUM Monica Ying Jee,D,3,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
6.0,LIN Suet Ning Joey,D,3,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
18.0,CHEUNG Oi lam,F,3,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
22.0,LEE Chung Kiu,F,3,HKG,True,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/lineup/6487/1-hkg-vs-bel,https://www.iihf.com//en/events/2019/wwiibq/gamecenter/playbyplay/6487/1-hkg-vs-bel
